ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ལ་གནས་པ|Abides in the sense field of infinite consciousness
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་པ|One achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite’
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་པ|One achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite’
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ལ་གནས་པ|Abides in the sense field of infinite space
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་བསྒྲུབས་ཏེ་གནས་པ|One achieves and abides in the sense field of infinite space, thinking, ‘Space is infinite.’
གནས་པ|Abiding
ཞི་གནས|Calm abiding
ཞི་གནས|Calm abiding
མི་གནས་པ|Non-abiding
གནས་པ་མེད་པ|Non-abiding
རྡོ་རྗེ་དགྱེས་གནས་སྐྱོབ|Vajra Joyfully Abiding Protector
ཆོས་གནས་པ་ཉིད|Abiding nature of phenomena
རང་བཞིན་གནས་རིགས|Naturally abiding buddha nature
སེམས་མེད་པར་གནས་པ|Abiding Without Mentation
ཆོས་རྣམས་ཀྱི་ཆོས་གནས་པ་ཉིད|Abiding nature of all things
མི་གནས་པའི་ཚུལ་གྱིས|In a non-abiding manner
དེ་བཞིན་ཉིད་དུ་ཆོས་གནས་པ|Abiding of phenomena in the real nature
དེ་བཞིན་ཉིད་ལ་གནས་ཤིང་སེམས་མེད་པ|Abiding in the Real Nature Without Mentation
དེ་བཞིན་ཉིད་ལ་གནས་ཤིང་སེམས་མེད་པ|Abiding in the Real Nature Without Mentation
ཆོས་རྣམས་ཀྱི་ཆོས་གནས་པ་ཉིད|Abiding nature of all things
ཆོས་གནས་པ་ཉིད|Abiding nature of phenomena
དེ་བཞིན་ཉིད་དུ་ཆོས་གནས་པ|Abiding of phenomena in the real nature
སེམས་མེད་པར་གནས་པ|Abiding Without Mentation
ཐུབ་པ|Able One
གནས|Abode
གནས་གཙང་མ|Pure Abode
གནས་གཙང་མའི་རིས|Pure Abode
དགའ་ལྡན་གྱི་གནས|Abode of Tuṣita
གནས་ལ་རྟེན་པ་མེད་པ|No Fixed Abode
མེ་ཏོག་སྣ་ཚོགས་གནས|Abode of Myriad Flowers
ཐུབ་པའི་དྲང་སྲོང་རྣམས་ཀྱི་གནས|Abode of the Sage’s hermits
མེ་ཏོག་སྣ་ཚོགས་གནས|Abode of Myriad Flowers
ཐུབ་པའི་དྲང་སྲོང་རྣམས་ཀྱི་གནས|Abode of the Sage’s hermits
དགའ་ལྡན་གྱི་གནས|Abode of Tuṣita
ཚངས་པའི་གནས|Abodes of Brahmā
ཤུ་བ|Abscesses
སྨོན་པ་མེད་པ|Absence of aspiration
སྨོན་པ་མེད་པ|Absence of aspiration
མཚན་མ་མ་མཆིས་པ|Absence of attributes
མཚན་མ་མེད་པ|Absence of attributes
མཚན་མ་མེད་པ|Absence of attributes
ལྡོག་པ|Absence of distinguishing counterparts
མཆོག་ཏུ་འཛིན་པ་མེད་པ|Absence of dogmatic assumptions
བདེ་བ་དང་སྡུག་བསྔལ་ཐམས་ཅད་ལ་མངོན་པར་དགའ་བ་མེད་པ|Absence of Joy with Respect to All Happiness and Suffering
བདག་མེད་པ|Absence of self
བདག་མེད|Non-self
ཡང་དག་པར་ཡོངས་སུ་གྲུབ་པ|Absolutely existent
ཤིན་ཏུ་དབེན་པ|Absolutely void
སྡུད་པར་བགྱིད|Absorb
ཏིང་ངེ་འཛིན|Absorption
ཏིང་ངེ་འཛིན|Absorption
སྙོམ་འཇུག|Absorption
ཏིང་ངེ་འཛིན|Absorption
སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན|Illusory absorption
བསམ་གཏན|Meditative absorption
སྙོམས་པར་འཇུག་པ|Meditative absorption
བསམ་གཏན|Meditative absorption
སྒྲོལ་མ་འབྱུང་བའི་ཏིང་ངེ་འཛིན|The Meditative Absorption of Tārā
མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་དགུ|Nine serial steps of meditative equipoise
ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of nothing-at-all
འདུ་ཤེས་མེད་མིན་གྱི་སྙོམས་འཇུག|Meditative absorption of neither perception nor non-perception
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of infinite space
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|Meditative absorption of the sense field of infinite consciousness
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption
མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་དགུ|Absorptions into nine successive abodes
དབང་འབྱོར་པ|Abundant in splendor
མི་གཡོ་བ|Unfluctuating
མི་གཡོ་བ|Acala
མི་གཡོ་བ|Acala
མི་གཡོ་བ་ནག་པོ|Black Acala
མི་གཡོ་བ་ལྗང་གུ|Green Acala
མི་གཡོ་བ་དམར་པོ|Red Acala
མི་གཡོ་བ་གཀར་པོ|White Acala
མི་གཡོ་བ་སེར་པོ|Yellow Acala
མི་གཡོ|Unwavering
མི་གཡོ་བ|Unwavering
མི་གཡོ་བ|Immovable
མེ|Acalā
མེ|Acalā
བློ་གྲོས་མི་གྱོ་བ|Acalamati
བློ་གྲོས་མི་གྱོ་བ|Acalamati
སློབ་དཔོན|Instructor
སློབ་དཔོན|Ācārya
སློབ་དཔོན|Ācārya
སློབ་དཔོན|Ācārya
སློབ་དཔོན|Ācārya
སློབ་དཔོན|Ācārya
སློབ་དཔོན|Ācārya
སློབ་དཔོན|Master
ཁས་ལེན|Accept
ཉེ་བར་གཞག་པ|Accept charge of
གཟུང་བ|Accept charge of
བཟོད་ལ་འདོད་པ|Inclination to accept
ཉེ་བར་གཞག་པ|Accept charge of
གཟུང་བ|Accept charge of
བཟོད་པ|Tolerance
བཟོད་པ|Acceptance
ཡོངས་སུ་གཟུང་བ་མེད་པ|Non-acceptance
ཡོངས་སུ་གཟུང་བ་མེད་པ|Non-acceptance
བརྒྱད་པའི་ས|Level of eightfold acceptance
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|Acceptance of the non-arising of phenomena
མི་སྐྱེ་པའི་ཆོས་ལ་བཟོད་པ|Acceptance that phenomena are non-arising
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|Acceptance of the non-arising of phenomena
མི་སྐྱེ་པའི་ཆོས་ལ་བཟོད་པ|Acceptance that phenomena are non-arising
ཡོངས་སུ་ཟིན་པ|Accepted
གོ་འབྱེད|Accommodate
དངོས་གྲུབ|Accomplishment
དངོས་གྲུབ|Accomplishment
དངོས་གྲུབ|Spiritual accomplishment
གྲངས་དག་འདེབས|Account for
རྨད་བྱུང|Accounts of miracles
ཡོན་ཏན་ཐམས་ཅད་ཀྱི་ཚོགས་སུ་གྱུར་པ|Accumulation of All Attributes
སྨོན་ལམ་བསམ་གྱིས་མི་ཁྱབ་པ་ཁྱད་པར་དུ་འཕགས་པའི་རྒྱལ་པོ|Acintya­praṇidhāna­viśeṣa­samudgata­rāja
སྨོན་ལམ་བསམ་གྱིས་མི་ཁྱབ་པ་ཁྱད་པར་དུ་འཕགས་པའི་རྒྱལ་པོ|Acintya­praṇidhāna­viśeṣa­samudgata­rāja
ཆོས་ཉིད་ཀྱིས་ཐོབ་པ|Acquire the precepts on the basis of actual reality
ཀུན་ཏུ་འཛིན་པའི་སེམས|Acquisitiveness
ཡོངས་སུ་འཛིན་པ|Acquisitiveness
ལས|Act
ནན་ཏུར་གྱི་ལས|Disciplinary act
བསྐྲད་པའི་ལས|Act of expulsion
བསྡིགས་པའི་ལས|Act of censure
གནས་ནས་དབྱུང་བའི་ལས|Act of suspension
ཕྱིར་འགྱེད་པའི་ལས|Act of reconciliation
སྨད་པའི་ལས|Act of chastening
ལས་བརྗོད་པ|Motion to act
ལས་བརྗོད་པ|Motion to act
གསོལ་བ་འབའ་ཞིག་གི་ལས|Act of motion alone
གསོལ་བ་དང་གཉིས་ཀྱི་ལས|Act whose second member is a motion
གསོལ་བ་དང་བཞིའི་ལས|Act whose fourth member is a motion
བསྡིགས་པའི་ལས|Act of censure
སྨད་པའི་ལས|Act of chastening
བསྐྲད་པའི་ལས|Act of expulsion
གསོལ་བ་འབའ་ཞིག་གི་ལས|Act of motion alone
ཕྱིར་འགྱེད་པའི་ལས|Act of reconciliation
གནས་ནས་དབྱུང་བའི་ལས|Act of suspension
གསོལ་བ་དང་བཞིའི་ལས|Act whose fourth member is a motion
གསོལ་བ་དང་གཉིས་ཀྱི་ལས|Act whose second member is a motion
ལས|Action
ལས་ཀྱི་ཕྱག་རྒྱ|Action seal
ཡང་དག་པའི་ལས་ཀྱི་མཐའ|Correct action
ལས|Past action
བྱ་བ་གྲུབ་པའི་ཡེ་ཤེས|Action-accomplishing wisdom
དགེ་བའི་རྩ་བ|Roots of virtuous action
ལས་གཅིག་པ|Singular course of action
འཁོར་གསུམ|Three aspects of the action
ལས་ཀྱི་ཕྱག་རྒྱ|Action seal
བྱ་བ་གྲུབ་པའི་ཡེ་ཤེས|Action-accomplishing wisdom
ལས་ཁ་ན་མ་ཐོ་བ་དང་བཅས་པ|Actions (physical, verbal and mental) that are tainted with the inadmissible transgressions
བྱེད་པ་པོ|Actor
མཚམས་མེད་པ་ལྔ|Acts with immediate consequence
སྐྱེ་བ|Actual birth
མངོན་སུམ་དུ་བྱེད|Actualize
མངོན་པར་གྲུབ|Actualize
འདུ་བྱེད་རྣམས་མངོན་པར་འདུ་བྱེད|Actualize formative predispositions
འདུ་བྱེད་རྣམས་མངོན་པར་འདུ་བྱེད|Actualize formative predispositions
ལྕང་ལོ་ཅན|Aḍakavatī
ལྕང་ལོ་ཅན|Aḍakavatī
ལྕང་ལོ་ཅན|Aḍakavatī
ལྕང་ལོ་ཅན|Aḍakavatī
རྡོ་རྗེ་ལྟ་བུ|Adamantine
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན|Adamantine meditative stability
རྡོ་རྗེ་ལྟ་བུའི་ཡེ་ཤེས|Adamantine pristine cognition
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་སྐད་ཅིག་གཅིག་དང་ལྡན་པའི་ཤེས་རབ|Wisdom that is instantaneously endowed with the adamantine meditative stability
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན|Adamantine meditative stability
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་སྐད་ཅིག་གཅིག་དང་ལྡན་པའི་ཤེས་རབ|Wisdom that is instantaneously endowed with the adamantine meditative stability
རྡོ་རྗེ་ལྟ་བུའི་ཡེ་ཤེས|Adamantine pristine cognition
འབྲོག་གནས|Āḍavaka
འབྲོག་གནས|Āḍavaka
ཆོས་རྨད་དུ་བྱུང་བ|Adbhūtadharma
ཆོས་རྨད་དུ་བྱུང་བ|Adbhūtadharma
རབ་ཏུ་སྙིང་རྗེ་ཅན|Adhi­mātra­kāruṇika
རབ་ཏུ་སྙིང་རྗེ་ཅན|Adhi­mātra­kāruṇika
ཉི་མ|Āditya
ཉི་མ|Āditya
ཉི་མ|Āditya
ཉི་མ|Āditya
ཉི་མའི་འབྱུང|Āditya­saṃbhava
ཉི་མའི་འབྱུང|Āditya­saṃbhava
ཡང་དག་པ་བླང|Adopt the precepts
རིན་པོ་ཆེ་ཆེན་པོས་བརྒྱན་པ|Adorned by Great Jewels
རྒྱན|Adornment
དམ་ཆོས་ཡིད་བཞིན་ནོར་བུ་ཐར་པ་རིན་པོ་ཆེའི་རྒྱན|An Adornment for the Precious Path to Liberation
གནོན|Advance courageously
ཕན་ཡོན|Advantage
ཀུན་ནས་ཉོན་མོངས་པ|Afflicted
ཉོན་མོངས|Afflicted
ཉོན་མོངས་པའི་ཡིད|Afflicted mind
ཀུན་ནས་ཉོན་མོངས་པ|Totally afflicted
ཉོན་མོངས|Afflicted mental state
ཀུན་ནས་ཉོང་མོངས་པ|Afflicted mental state
སེམས་ལས་བྱུང་བའི་ཉེ་བའི་ཉོན་མོངས་པ|Afflicted mental state
ཉོན་མོང་པ་ཟད་པ|Whose afflicted mental states have ended
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption
ཉོན་མོངས|Afflicted mental state
ཀུན་ནས་ཉོང་མོངས་པ|Afflicted mental state
སེམས་ལས་བྱུང་བའི་ཉེ་བའི་ཉོན་མོངས་པ|Afflicted mental state
ཉོན་མོངས་པའི་ཡིད|Afflicted mind
ཉོན་མོངས་པ|Affliction
ཉོན་མོངས|Affliction
ཉོན་མོངས|Kleśa
ཀུན་ནས་ཉོན་མོངས་པ|Affliction
ཉོན་མོངས་པ|Affliction
ཉོན་མོངས|Affliction
ཉོན་མོངས་པ|Mental affliction
ཉོན་མོངས་པ་མེད་པ་ཉོན་མོངས་པ་དང་བཅས་པ་ཐམས་ཅད་ཡང་དག་པར་འདུ་བ|Convergence of All Mental Afflictions in Non-affliction
དངང་ལ་དངང་པར་འགྱུར|Afraid and terrified (be)
དངང|Afraid (be)
དངང་བར་འགྱུར|Afraid (will be)
ལུང|Āgama
ལུང|Āgama
ཨ་ག་རུ|Agarwood
སྤྲ་བའི་མེ་ཏོག|Āgati flower
བྱེད་དུ་འཇུག་པ་པོ|Agent
བྱེད་པ་པོ|Agent
བྱེད་པ་པོ་མེད་པ|Non-agent
ཕུང་པོ|Aggregate
ཕུང་པོ|Aggregate
ཕུང་པོ|Aggregate
ཕུང་པོ|Psycho-physical aggregate
ཕུང་པོ|Aggregate
ཕུང་པོ|Aggregate
ཟག་བཅས་ཀྱི་ཕུང་པོ|Contaminated aggregate
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|Aggregate of correct conduct
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|Aggregate of discipline
ཏིང་ངེ་འཛིན་གྱི་ཕུང་པོ|Aggregate of meditative stability
འདུ་བྱེད་ཀྱི་ཕུང་པོ|Aggregate of formative predispositions
འདུ་ཤེས་ཀྱི་ཕུང་པོ|Aggregate of perceptions
རྣམ་པར་གྲོལ་བའི་ཕུང་པོ|Aggregate of liberation
རྣམ་པར་ཤེས་པའི་ཕུང་པོ|Aggregate of consciousness
ཕུང་པོ|Psycho-physical aggregate
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|Aggregate of ethical discipline
ཚོར་བའི་ཕུང་པོ|Aggregate of feelings
གཟུགས་ཀྱི་ཕུང་པོ|Aggregate of physical forms
ཤེས་རབ་ཀྱི་ཕུང་པོ|Aggregate of wisdom
རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བའི་ཕུང་པོ|Aggregate of the perception of liberating pristine cognition
རྣམ་པར་ཤེས་པའི་ཕུང་པོ|Aggregate of consciousness
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|Aggregate of correct conduct
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|Aggregate of discipline
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|Aggregate of ethical discipline
ཚོར་བའི་ཕུང་པོ|Aggregate of feelings
འདུ་བྱེད་ཀྱི་ཕུང་པོ|Aggregate of formative predispositions
རྣམ་པར་གྲོལ་བའི་ཕུང་པོ|Aggregate of liberation
ཏིང་ངེ་འཛིན་གྱི་ཕུང་པོ|Aggregate of meditative stability
འདུ་ཤེས་ཀྱི་ཕུང་པོ|Aggregate of perceptions
གཟུགས་ཀྱི་ཕུང་པོ|Aggregate of physical forms
རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བའི་ཕུང་པོ|Aggregate of the perception of liberating pristine cognition
ཤེས་རབ་ཀྱི་ཕུང་པོ|Aggregate of wisdom
ཉེ་བར་ལེན་པའི་ཕུང་པོ|Aggregates for appropriation
ཉེ་བར་ལེན་པའི་ཕུང་པོ|Aggregates of appropriation
ཁྲོ་བ|Aggression
རྒ་ཤི|Aging and death
རྒ་ཤི|Aging and death
འཁྲུགས་པ|Agitation
རྒོད་པ|Mental agitation
རྒོད་པ་དང་འགྱོད་པ|Agitation and regret
རྒོད་པ་དང་འགྱོད་པ|Agitation and regret
མེ་ལྷ|Agni
མེ་ལྷ|Agni
མེས་བྱིན|Agnidatta
མེས་བྱིན|Agnidatta
མེའི་རྫ་མ|Agnighaṭa
མེའི་རྫ་མ|Agnighaṭa
མེ་ཡི་དབང་ཕྱུག|Agnīśvara
མེ་ཡི་དབང་ཕྱུག|Agnīśvara
དྲག་པོའི་མཆེ་བ་ཅན|Agradaṃṣṭraka
དྲག་པོའི་མཆེ་བ་ཅན|Agradaṃṣṭraka
བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས|Aids to enlightenment
བྱང་ཆུབ་ཀྱི་ཕྱོགས་སུམ་ཅུ་རྩ་བདུན་གྱི་ཆོས|Thirty-seven aids to enlightenment
ཨཱིར་བིར|Ailavila
ཨཱིར་བིར|Ailavila
ས་སྲུང་གི་བུ|Airāvaṇa
ས་སྲུང་གི་བུ|Airāvaṇa
གཞལ་མེད་ཁང|Airborne palace
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མི་ཕམ|Ajita
མི་ཕམ|Ajita
མི་ཕམ་པ|Ajita
མི་ཕམ་པ|Ajita
བྱམས་པ|Maitreya
མ་ཕམ་པ|Ajita
མ་ཕམ་པ|Ajita
མི་ཕམ|Ajita
མི་ཕམ|Ajita
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita of the hair shawl
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita of the hair shawl
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita of the hair shawl
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita of the hair shawl
ཀུན་ཏུ་འཚོ་བ་པ|Ājīvika mendicant
ཀུན་ཏུ་འཚོ་བའི་རིགས|Ājīvika
ཀུན་ཏུ་འཚོ་བའི་རིགས|Ājīvika
ཀུན་ཏུ་འཚོ་བ་པ|Ājīvika mendicant
ཀུན་ཏུ་འཚོ་བ་པ|Ājīvika mendicant
ཀུན་ཤེས་ཀཽཎ་ཌི་ཉ|Ājñātakauṇḍinya
ཀུན་ཤེས་ཀཽཎ་ཌི་ཉ|Ājñātakauṇḍinya
ཀུན་ཤེས་ཀཽ་ཎྜི་ཉ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽ་ཎྜི་ཉ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎཌི་ཉ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎཌི་ཉ|Ājñāta­kauṇḍinya
ཅང་ཤེས་ཀཽཎྜི་ནྱ|Ājñāta­kauṇḍinya
ཅང་ཤེས་ཀཽཎྜི་ནྱ|Ājñāta­kauṇḍinya
ལ་ཕུག|Ajowan
འོག་མིན|Highest Heaven
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའ་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའ་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའ་ལ་གནས་པ|Ākāśa­pratiṣṭhita
ནམ་མཁའ་ལ་གནས་པ|Ākāśa­pratiṣṭhita
མི་ཕྱེད་པ|Ākhaṇḍala
མི་ཕྱེད་པ|Ākhaṇḍala
མི་རྡུང|Ākoṭā
མི་རྡུང|Ākoṭā
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
མི་བསྐྱོད་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་རྒྱལ|Akṣobhyarāja
མི་འཁྲུགས་རྒྱལ|Akṣobhyarāja
ལྕང་ལོ་ཅན|Alakāvatī
ལྕང་ལོ་ཅན|Alakāvatī
ལྕང་ལོ་ཅན|Alakavatī
ལྕང་ལོ་ཅན|Alakavatī
རྣ་ཆ|Alambuśā
རྣ་ཆ|Alambuśā
ཤེས་བཞིན་ཅན|Alert
ཤེས་བཞིན|Alertness
ཤེས་བཞིན་དུ་སྤྱོད|Maintain alertness
ཨཱ་ལི་ཀཱ་ལི|Āli kāli
ཨཱ་ལི་ཀཱ་ལི|Āli kāli
འགྱེས་པ|Alien
སེམས་གཞན་དུ་འགྱུར|Alienated (be)
