ཀ|{stambha}
ཀ་པི་ལྱ|{kAmpilya}
ཀ་པིཏ་ཐ|{1) kapittha 2) dadhittha 3) dantazaTa}
ཀ་པོད|{zANDilya}
ཀ་ཕྲེང|{kAli}
ཀ་ཕྲེང་སྒོམ་པའི་ལམ|{kAlimArgabhAvanA}
ཀ་བ|{1) apastambha 2) stambha 3) sthUNa 4) sthUNA}
ཀ་བ་བཟང་པོ|{sustambha}
ཀཱ་བེ་རི|{kAverI}
ཀ་མ་ཆ|{kAmAkhya}
ཀ་མ་རུ|{kAmarUpa}
ཀ་མ་ལ|{1) kamala 2) padma}
ཀ་མ་ལ་ཤཱི་ལ|{kamalazIla}
ཀ་ཙ་ལིན་དའི་གོས|{kAcalindika}
ཀ་ཙ་ལིན་དི|{kAcalindika}
ཀཱ་ཙི་ཀཱ|{kAJcikA, kuJcikA}
ཀ་གཞུ|{1) kRkATaka 2) kRkATTAkhaka}
ཀ་ཡ་ཀོའུ་རི|{gayAgaurI}
ཀྭ་ཡི|{are}
ཀ་ཡིག|{kakAra}
ཀ་ར|{1) kaNDa 2) zarkarA 3) sitA}
ཀ་ར་བི་ར|{1) karavIra 2) caNData 3) pratisara 4) hayamAraka}
ཀ་རཉ་ཛ|{1) karaJja 2) prakIrya 3) markaTI}
ཀ་རན་ད་བ|{kAraNDava}
ཀ་རཎ་ཌ|{1) kAraNDa 2) kAraNDava 3) piTaka 4) zukla 5) zvita}
ཀཱ་རི་ཀཱ|{kArikA}
ཀ་རུ|{1) zukla 2) zveta}
ཀ་ལཱ་པ|{kalApa}
ཀ་ལཱ་པའི་འགྲེལ་པ་ཉུང་ངུ་ལས་སློབ་མ་ལ་ཕན་པ་ཞེས་བྱ་བ|{kalApalaghuvRttiziSyahitAnAma}
ཀ་ལཱ་པའི་མདོ|{kalApasUtra}
ཀ་ལཱ་པའི་མདོ་དང་འགྲེལ་པའི་སི་ལ་སོགས་པའི་རྣམ་དབྱེའི་བྱ་བ|{kalApasUtravRtti syAdivibhaktiprakriyA}
ཀ་ལཱ་པའི་བྱིངས་ཀྱི་མདོ|{kalApadhAtusUtra}
ཀ་ལཱ་པའི་ཨུ་ཎ་ལ་སོགས་པའི་མདོ|{kalApoNAdisUtra}
ཀ་ལཱ་པར་འཇུག་པ|{kalApAvatAra}
ཀ་ལ་བིང་ཀ|{kalaviGka}
ཀ་ལ་ཤ|{kalaza}
ཀ་ལན་ཏ་ཀ|{kalandaka}
ཀ་ལནྡ|{kalandaka}
ཀ་ལན་ད་ཀ|{kalandaka}
ཀ་ལན་ད་ཀ་གནས་པ|{kalandakanivAsa}
ཀ་ལན་ད་ཀ་གནས|{kalandakanivApa}
ཀ་ལམ་བ|{kalamba}
ཀ་ལིང་ཀ|{kaliGka}
ཀ་ལིང་ཀའི་རྒྱལ་པོ|{kaliGkarAjA}
ཀ་ལིན་དིའི་བུ་མོ|{kalindI}
ཀཱ་ཤ|{kAza}
ཀ་ཤི་ཀ|{kAzika}
ཀ་ཤི་ཀའི་རས|{kAzikAMzuka}
ཀཱ་ཤི་མཛེས་པ|{kAzIsundara}
ཀ་ཤྱ|{kAzya}
ཀ་སེ་རུ|{kazeru}
ཀག|{azleSA}
སྐག|{azleSA}
ཀེག|{azleSA}
ཀང་ཀ|{1) kaGka 2) jalATana}
ཀང་ཀ་སྒྲོགས|{kaGkatu}
ཀང་སྒྲ་ཅན|{kaGka}
ཀན་ནི་ཀ|{karNika}
ཀན་ཙི|{kaJcI}
ཀན་ཟར་པོ|{prAgbhAra}
ཀན་ཊ་ཀཱ་རི|{kaNTakAri}
ཀཎཌ་ཀ་རི|{1) bRhatI 2) nidigdhikA 3) mahatI}
ཀཾ་ཀ|{jalATana}
ཀམྤ་ལ་སྐྱེས|{kAmpilya}
ཀམ་པི་ལ|{kAmpilya}
ཀམ་བ་ལ|{kambalI nAgarAjA}
ཀམ་བོ་ཛ|{kAmboja}
ཀརྐ་ཏ|{karkaTa}
ཀརྐ་ཊ|{karkaTa}
ཀརྐས་སྨེད|{karkareTu}
ཀར་ནི་ཀ|{karNika, karNikAra}
ཀརྨ་ཌཱ་ཀི|{anucarA karmaDAkinI}
ཀར་མ་བ་ཛྲ|{karmavajra}
ཀརྴ་པན|{kArSApaNa}
ཀར་ཤ་པ་ནི|{kArSApaNa, karSApaNa}
ཀར་ཤ་པ་ཎ|{kArSApaNa}
ཀལྤ|{kalpa}
བསྐལ་པ|{kalpa}
ཀི་ཀིས་རྩེན|{kikIdivi}
ཀི་པའི་དབ་མ|{kIzaparNI}
ཀཱི་རི་ཏ་ཀ|{kirAtaka}
ཀི་ལི་ཀི་ལ|{1) kalakaladhvani 2) kolAhala}
ཀཱི་ཤའི་འདབ|{1) apAmArgapatra 2) kIzapatra}
ཀིང་ཀ་ར|{kiGkara}
ཀིང་གཱི་རྩེ|{kalki}
ཀིང་ཤུ་ཀ|{kiMzuka}
ཀིམ་པ་ཀ|{kimpAka}
ཀིའུ|{gRJjanaka}
ཀུ་ཀུ|{prahelikA}
ཀུ་ཀུ་ར་ཙ|{kukkurAcArya}
ཀུ་ཅོ|{1) kalkala 2) kilikilAyita 3) kolAhala}
ཀུ་ཅོ་ཆེ་བར་འདོན་པ|{rAraTIti}
ཀུ་ཎ་ལ|{kuNAla}
ཀུ་ཎཱ་ལའི་རྟོགས་པ་བརྗོད་པ|{kuNAlAvadAna}
ཀུ་བ|{1) alAbu 2) tumbI}
ཀུ་བ་ཁ་མོ|{kaTutumbI}
ཀུ་བ་ལ|{kuvalaya}
ཀུ་བ་ལ་མེ་ཏོག|{kuvalaya, utpala}
ཀུ་བེ་ར|{1) kubera 2) zreSTha}
ཀུ་མུ་ད|{1) kumuda 2) somagandha}
ཀུ་མུ་ད་ར|{kumudarA}
ཀུ་མུ་དའི་ཚལ|{kumudavana}
ཟླ་བས་བཞད་ཚལ|{kumudavana}
ཀུ་མུད|{kumuda}
ཀུ་མུད་ཅན|{kumudavatI}
ཀུ་མུད་གཉེན|{kumudabandhu}
ཀུ་མུད་གཉེན་བྱེད|{kumudabAndhava}
ཀུ་མུད་ལྡན་པ|{kumudinI}
ཀུ་ཙན་དན|{kucandana}
ཙན་དན་ངན་པ|{kucandana}
ཀུ་ར་བ་ཀ|{kuravaka}
ཀུ་ར་ར|{kurara}
ཀུ་རང་ག|{kuraGga}
ཀུརའི་སྒྲ་ཅན|{kurara}
ཀུ་རུ|{kuru}
ཀུ་རུ་ཀུ་ལེ|{kurukullA}
ཀུ་རུ་ཀུལླ་པ|{kurukullakaH}
ཀུ་རུ་ཀུལླེ|{kurukullA}
ཀུ་རུ་ཀུལླེ་གསང་སྒྲུབ|{guhyasAdhana kurukullA}
ཀུ་རུ་ཀུལླེའི་སྒྲུབ་ཐབས|{kurukullesAdhana}
ཀུ་རུ་ཀུལླེའི་སྒྲུབ་པའི་ཐབས|{kurukullesAdhana}
ཀུ་རུ་ཀུལླེའི་ལས་རབ་ཏུ་བརྒྱང་བ་སྦྱོང་བ|{kurukullekarmaprasaraprayoga}
ཀུ་རུ་བི་ཧ་ར|{kuruvihAra}
ཀུ་རུ་བིན་ད|{kuruvinda}
ཀུ་རེ|{1) keli 2) krIDA 3) kSepaka 4) khelA 5) dhamalI 6) lIlA 7) hAsya}
ཀུ་རེའི་རིམ་པས་མི་དགའ་བ|{kelikrameNa urati}
ཀུ་ལ་ཀཱ|{kulakA}
ཀུ་ལཱ་ལ|{kulAla = kunAla}
ཀུ་ཤ|{1) kuza 2) darbha 3) vaddhi}
ཀུ་ཤ་ཅན|{kauzika}
ཀུ་ཤ་ཆེན་པོ|{mahAkuza}
ཀུ་ཤ་བན་དྷ|{kuzabandha}
ཀུ་ཤ་གཙང་བསྲེལ|{kuzapavitradhAraka}
ཀུ་ཤ་ཀ|{kuzala}
ཀུ་ཤའི་གྲོང་ཁྱེར|{kuzanagara, kuzInagarI}
ཀུ་ཤི་ལྡན|{kuzavatI}
ཀུ་ཤུ|{pAlevatavRkSa}
ཀུ་ས་ལི|{kuzalin}
ཀུ་ས་ལི་བྷ་དྲ|{kuzalibhadra}
ཀུ་སུ་མ|{kusuma}
ཀུ་ཧུ|{1) kuhu 2) kokila}
ཀུ་ཧུའི་མགྲིན་ལྡན|{kuhukaNTha}
ཀུ་ཧུའི་སྒྲ་ལྡན|{kuhumukha}
ཀུང་ཀུམ|{kuMkuma}
ཀུཉ་ཛ་ར|{kunjara}
ཀུན|{1) akhila 2) anekadhA 3) ava° 4) A° 5) kRtsna 6) nikhila 7) pari° 8) vi° 9) sam° 10) sakala 11) samanta 12) samasta 13) sarva 14) 15)}
ཀུན་ཀྱང|{sarvatra}
ཀུན་ཀྲམ|{AkIrNa}
ཀུན་སྐྱེ|{1) avaroha 2) Asava 3) udbhUta 4) upapatti}
ཀུན་སྐྱོབ|{1) Akzepa 2) prahasana 3) saMkopa}
ཀུན་སྐྱོབས|{vizvabhuk}
ཀུན་བསྐོར|{avRta}
ཀུན་ཁེབས|{1) AcchAdana 2) vyoman}
ཀུན་ཁྱབ|{1) AkAz 2) AbiSaya 3) vyoman 4) hari}
ཀུན་ཁྱབ་མུན་པ|{samantamasaH}
ཀུན་ཁྱབ་བཞིན་སྟོན|{samantaspharaNamukhadarzana}
ཀུན་ཁྲོ|{Akrozaka}
ཀུན་མཁྱེན|{1) Avid 2) vaidya 3) sarvajJa 4) sarvavid}
ཀུན་མཁྱེན་ཉི་མའི་གཉེན|{sarvajJasUryavaMza}
ཀུན་མཁྱེན་ཉིད|{1) sarvajJatA 2) sarvajJatva}
ཀུན་མཁྱེན་དབྱིག་གཉེན|{sarvajJa vasumitra}
ཀུན་མཁྱེན་ཡེ་ཤེས་ལ་ནི་སེམས་གྲོལ་ཞིང|{sarvajJajJanottaraNaya}
ཀུན་འཁྱམས|{paribhrAmaka}
ཀུན་འཁྱིལ|{AvartanI}
ཀུན་འཁྲུགས|{1) Akula 2) vyagra}
ཀུན་འཁྲུལ|{paribhrama}
ཀུན་གྱི|{sarvi}
ཀུན་གྱི་དཀྱིལ|{samantatala}
ཀུན་གྱི་ཁུར་ཅན|{sarvadhurINa}
ཀུན་གྱི་ཟུགས|{mUrtimat}
ཀུན་གྱིས་བཀུར་བ|{1) mahAsaMmata 2) saMmatIya}
ཀུན་དགའ|{1) Ananda 2) ArAma 3) saMmoda}
ཀུན་དགའ་རྒྱལ་མཚན|{Anandadhvaja}
ཀུན་དགའ་སྙིང་པོ|{Anandagarbha}
ཀུན་དགའ་ལྡན|{Ananda}
ཀུན་དགའ་བ|{sammodana}
ཀུན་དགའ་པོ|{Ananda}
ཀུན་དགའ་མཛད|{santoSaNa}
ཀུན་དགའ་རབ|{ArAma}
ཀུན་དགའ་ར་བ་པ|{ArAmika}
ཀུན་དགའི་ར་བ|{ArAma}
ཀུན་དགའ་ར་བ|{ArAma}
ཀུན་མགྱོགས|{Avega}
ཀུན་འགེད|{saMbibhajate}
ཀུན་འགེགས|{parivAsa}
ནམ་མཁའ|{parivAsa}
ཀུན་འགོག་པ|{nirodha}
ཀུན་འགོངས|{vizvaMbhara}
ཀུན་འགྱེད|{saMvibhajate}
ཀུན་འགྲོ|{1) aJjabanam 2) Ati 3) gagana}
ཀུན་འགྲོ་འབད|{Abhoga}
ཀུན་འགྲོའི་དྲི་ཅན|{AranAlaka}
ཀུན་རྒྱལ|{1) saJjaya 2) saJjayin}
ཀུན་རྒྱུ|{ADi}
ཀུན་སྒྲོགས|{Arava}
ཀུན་ཅིངས|{1) anaGga 2) santApita}
ཀུན་བཅོམ|{1) Ahara 2) yama}
ཀུན་ཆུབ|{1) avagata 2) avasita}
ཀུན་ཆུབ་པ|{1) avagata 2)}
ཀུན་ཆུབ་པར་བྱེད་པ|{paryAyasyanti}
ཀུན་མཆོག་ལྡན|{zrIkAlacakra}
ཀུན་འཇིགས|{saMbhaya}
ཀུན་འཇུག|{1) Avezana 2) karaNa 3) visva 4) saMstara}
ཀུན་འཇོ|{Asina (?)}
ཀུན་འཇོམས|{1) AkhaNDala 2) AghAtaka 3) parighAtana 4) yoga}
ཀུན་བརྗོད|{1) Adehsa 2) AbhASaNa}
ཀུན་ཉོན|{sAMklezika}
ཀུན་ཉོན་དང་རྣམ་བྱང་ཐ་དད་མེད་པ|{saMklezavyavadAnAbheda}
ཀུན་མཉམ|{nibha}
ཀུན་སྙིང|{1) Anandagarbha 2) tAranAtha}
ཀུན་ཏིའི་བུ|{kaunteya}
ཀུན་ཏུ|{1) A° 2) paritaH 3) bhRzam (?) 4) sam° 5) samanu° 6) samanta° 7) samantataH 8) samantAta 9) samantena 10) samudA° 11) sarva 12) sarvataH 13) sarvatra 14) sarvathA 15) sarvi 16) saM}
ཀུན་ཏུ་བཀོད་པ་རྒྱ་མཚོའི་སྤྱོད་པ་ལ་རྣམ་པར་བལྟ་བ|{samantavyUhasAgaracaryAvyavalokana}
ཀུན་ཏུ་བཀྲམ|{AkIrNa}
ཀུན་ཏུ་སྐྱེ|{avaroha, Asava, udbhUta, upapatti}
ཀུན་ཏུ་སྐྱོ་བ|{1) AkSepa 3) udvega 3) prahasana 4) saMvega 5) saMkopa}
ཀུན་ཏུ་བསྐྱེད|{samutpAdayati}
ཀུན་ཏུ་བསཡྐོད་ཅིང|{utkSipta}
ཀུན་ཏུ་ཁྱབ་པ|{samantagata}
ཀུན་ཏུ་ཁྱོག་པ|{Ajihma}
ཀུན་ཏུ་འཁྲུགས|{Akula}
ཀུན་ཏུ་འཁྲུགས་པ|{samudvigna}
ཀུན་ཏུ་གང|{AkIrNa}
ཀུན་ཏུ་གང་བ|{sampUrNa}
ཀུན་ཏུ་གོ་བ|{vizruta}
ཀུན་ཏུ་གྲོལ|{Amukta}
ཀུན་ཏུ་དགའ་བར་མཛད་པ|{santoSaNa}
ཀུན་ཏུ་འགུལ་ཏོ|{saMpracal}
ཀུན་ཏུ་འགེགནས་པ|{vizvamvhara}
ཀུན་ཏུ་འགྱེད་པ|{saMvibhajati}
ཀུན་ཏུ་འགྲོ་བ|{sarvatraga}
ཀུན་ཏུ་འགྲོ་བའི་རྒྱུ|{sarvatragahetu}
ཀུན་ཏུ་རྒྱལ་བ|{saJjaya}
ཀུན་ཏུ་རྒྱས་པར་བྱེད་པ|{parispharayati}
ཀུན་ཏུ་རྒྱུ|{1) AcAra 2) parivrAjaka 3) maskarI 4) samudAcAra}
ཀུན་ཏུ་རྒྱུ་པ་སེན་རིངས་ཀྱིས་ཞུས་པ|{dIrghanakhaparivrAjakaparipRcchA}
ཀུན་ཏུ་རྒྱུ་བ|{Agama, Agamuka}
ཀུན་ཏུ་རྒྱུག|{AdhAvamAna}
ཀུན་ཏུ་དངང་བར་འགྱུར་ཞིང|{saMtrasati}
ཀུན་ཏུ་དངངས|{saMtrasAvaH}
ཀུན་ཏུ་ཆགས་པ|{1) vyagra, vyasta 2) vilagna 3) saMrakta 4) saMrAga}
ཀུན་ཏུ་ཆེམ་ཆེམ|{sampragarj}
ཀུན་ཏུ་ཆེར་སྣང་མིག་རུ་སྡུག་པ|{samantasthUlAvalokananayanAbhirAma}
ཀུན་ཏུ་མཆོག|{ziSTa}
ཀུན་ཏུ་འཇུག་བྲལ|{nirodha}
ཀུན་ཏུ་འཇོམས་པ|{samudghAta}
ཀུན་ཏུ་འཇོམས་པར་བྱེད|{parimardayamAna}
ཀུན་ཏུ་རྗེས་སུ་ཚོལ་བ|{samanveSaNa}
ཀུན་ཏུ་བརྗོད་པ|{AdezanA}
ཀུན་ཏུ་བརྗོད་པའི་ཆོ་འཕྲུལ|{AveSanaprAtihArya}
ཀུན་ཏུ་ཉུག་པར་བྱེད|{parimArjayati}
ཀུན་ཏུ་བཏགས་པའི་མཚན་ཉིད|{parikalpitalakSaNa}
ཀུན་ཏུ་རྟགས་པ|{parikalpita}
ཀུན་ཏུ་རྟོག་པ|{1) saMkalpa 2) saMvIkSaNa}
ཀུན་ཏུ་རྟོག་པའི་རྙོག་མེད་པ|{anAvilasaMkalpa}
ཀུན་ཏུ་ལྟ་བ|{AlokitaH}
ཀུན་ཏུ་སྟོན་པ|{1) Adarzana 2) Adarzita}
ཀུན་ཏུ་སྟོན་པར་བྱེད་དོ|{Adarzayati}
ཀུན་ཏུ་བརྟགས་པ|{1) parikalpita 2) saGkalpa}
ཀུན་ཏུ་བསྟན|{saMdarzita}
ཀུན་ཏུ་བསྟན་པ|{saMdarzana}
ཀུན་ཏུ་ཐ་སྙད་འདོགས་པ|{sAmvyavahArika}
ཀུན་ཏུ་འཐག་པ|{avamarda}
ཀུན་ཏུ་འཐོར|{avakIrNa}
ཀུན་ཏུ་དོར|{nirasta}
ཀུན་ཏུ་དྲི་བསུང|{samantagandha}
ཀུན་ཏུ་དྲིས|{pRcchati}
ཀུན་ཏུ་བདེ་བ|{samantasukha}
ཀུན་ཏུ་འདོད་ཆགས་པ|{saMrAga}
ཀུན་ཏུ་འདྲིའོ|{paripRchati}
ཀུན་ཏུ་ལྡེག་གོ|{sampravidh}
ཀུན་ཏུ་སྡུད་པ|{saGgraha}
ཀུན་ཏུ་གནས|{sthiti, vasiti}
ཀུན་ཏུ་གནས་ནས|{samAzrita}
ཀུན་ཏུ་གནོད་པར་གྱུར་པ|{samabhidruta}
ཀུན་ཏུ་མནར་སེམས|{AghAta}
ཀུན་ཏུ་སྣང་བ|{1) samantAloka 2) samantAvabhAsa}
ཀུན་ཏུ་སྣང་བར་བྱེད|{paridIpayamAna}
ཀུན་ཏུ་སྤྱད|{Acaret}
ཀུན་ཏུ་སྤྱད་དེ|{[ samudAcaritvA]}
ཀུན་ཏུ་སྤྱན|{samantanetra}
ཀུན་ཏུ་སྤྱོད་པ|{1) paribhuGkte 2) samudAcarati 3) samudAcAra}
ཀུན་ཏུ་སོཡོད་པ་གཙང་བ|{zucisamAcAra}
ཀུན་ཏུ་སྤྱོད་པའི་བློ་གྲོས|{samantacAritramati}
ཀུན་ཏུ་སྤྱོད་ལམ|{samanteryApatha}
ཀུན་ཏུ་སྤྲས|{AbhUSAyita}
ཀུན་ཏུ་ཕན་པ|{samAhita}
ཀུན་ཏུ་འཕགས|{samudgata}
ཀུན་ཏུ་འཕོ་བ|{saGkrama}
ཀུན་ཏུ་བྲོས|{sandrava}
ཀུན་ཏུ་འབར་བ|{AdIpta}
ཀུན་ཏུ་འབར་བར་གྱུར|{pradipta}
ཀུན་ཏུ་འབྱུང་གྱུར|{sambhavantu}
ཀུན་ཏུ་འབྱུང་ངོ|{sambhavati}
ཀུན་ཏི་འབྱུང་བ|{1) samudaya 2) samudAcAra}
ཀུན་ཏུ་འབྱུང་བར་འགྱུར|{bhaviSyati ... samudbhavaH}
ཀུན་ཏུ་འབྲང|{samanubaddha}
ཀུན་ཏུ་འབྲེལ་བ|{prayoga}
ཀུན་ཏུ་སྦྱིན་པའི་འོས་སུ་གྱུར་བ|{AhavanIya}
ཀུན་ཏུ་སྦྱོར་བ|{1) parikSINA 2) saMyojana}
ཀུན་ཏུ་སྦྱོར་བ་ལྟག་མ་དང་བཅས་པ|{sAvazeSasaMyojana}
ཀུན་ཏུ་མ་ཟིན་པ|{AparyAdatta}
ཀུན་ཏུ་མི་འཁོར|{na saMsarati}
ཀུན་ཏུ་མིག|{samantanetra}
ཀུན་ཏུ་མྱུར་བ|{samantajava}
ཀུན་ཏུ་མྱོང་བར་འགྱུར|{saMvedayati}
ཀུན་ཏུ་དམན་འགྲོ|{AdInava}
ཀུན་ཏུ་རྨོངས་པ|{sammoha}
ཀུན་ཏུ་རྨོངས་པའི་དྲ་བ་ཆེན་པོ|{sammoha-mahAjAla}
ཀུན་ཏུ་རྨོངས་བྱེད་ཀྱི་མདའ|{sammohana}
ཀུན་ཏུ་བཙལ་ན|{parigaveSamANa}
ཀུན་ཏུ་ཚིམ་པར་གྱུར|{Avarjita}
ཀུན་ཏུ་ཚོགས་པའི་གབ་ཚིག|{samAgatA prahelikA}
ཀུན་ཏུ་འཚི་བ|{urbAsanaM (?)}
ཀུན་ཏུ་འཛིན་པ|{Agraha}
ཀུན་ཏུ་འཛིན་མ|{avadhAraNI}
ཀུན་ཏུ་རྫོགས་པ|{avasita}
ཀུན་ཏུ་ཞུམ|{saMlIyate}
ཀུན་ཏུ་ཞུམ་པ|{AlIna}
ཀུན་ཏུ་ཞེན་པ|{1) Asakta 2) parAyaNa}
ཀུན་ཏུ་གཞག་པར་བགྱི|{sambhAvayiSyAmi}
ཀུན་ཏུ་ཟག་པའི་བག་ཆགས|{Asrava}
ཀུན་ཏུ་གཟི་བརྗིད|{samantatejas}
ཀུན་ཏུ་གཟིགས|{avalokiteSvara}
ཀུན་ཏུ་བཟང|{samantabhadra}
ཀུན་ཏུ་བཟང་པོ|{1) samantabhadra 2) sarvatobhadra}
ཀུན་ཏུ་བཟང་པོ་གླང་ཆེན་པོ|{hasti [ vAhana] samantabhadra}
ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་གཟུངས|{samantabhadranAmadhAraNI}
ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས|{samantabhadranAmasAdhana}
ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་སྦྱིན་སྲེག་གི་ཆོ་ག|{samantabhadranAmahomavidhi}
ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ|{samantabhadrasAdhanavRtti}
ཀུན་ཏུ་བཟང་པོའི་སྤྱོད་པ|{samantabhadracaryA}
ཀུན་ཏུ་བཟང་པོའི་མཚན་བརྒྱ་རྩ་བརྒྱད་པ་གཟུངས་སྔགས་དང་བཅས་པ|{samantabhadrASTottarazatakanAma dhAraNI}
ཀུན་ཏུ་བཟང་མོ|{1) caturaGgasAdhana samantabhadrInAma 2) samantabhadracaryA 3) samantabhadrA 4) samantabhadrI}
ཀུན་ཏུ་འུར་འུར|{1) saMravaNa 2) sampraraN}
ཀུན་ཏུ་འོད|{1) samantaprabha 2) samantaprabhA}
ཀུན་ཏུ་ཡི་མུག་འགྱུར|{sammohamAgataH}
ཀུན་ཏུ་ཡོན་ཏན|{samantaguNa}
ཀུན་ཏུ་རབ་ཏུ་འཁྲུགས་པ|{samprakSubhita}
ཀུན་ཏུ་རབ་ཏུ་འགུལ|{samprakampita}
ཀུན་ཏུ་རབ་ཏུ་དངང་བར་འགྱུར་བ|{santrAsamApadyate}
ཀུན་ཏུ་རབ་ཏུ་དངང་བར་འགྱུར་ནས|{santrAsamApadyAmahe}
ཀུན་ཏུ་རབ་ཏུ་ཆེམ་ཆེམ|{sampragarjita}
ཀུན་ཏུ་རབ་ཏུ་མཆེད་ཅིང་འབར་བ|{samprajvalita}
ཀུན་ཏུ་རབ་ཏུ་འཆེད་ཅིང་འབར་བ|{samprajvalita}
ཀུན་ཏུ་རབ་ཏུ་ལྡེག|{sampravedhita}
ཀུན་ཏུ་རབ་ཏུ་འབར|{sampradIpta}
ཀུན་ཏུ་རབ་ཏུ་འུར་འུར|{sampraragita}
རབ་ཏུ་རིག|{aveda}
རྣམ་པར་ཀུན་ཏུ་རིག་པ|{aveda}
རབ་ཏུ་རོ་གཅིག་མཚན་ཉིད|{sarvatra ekarasalakSaNa}
ཀུན་ཏུ་བརླག་པ|{Arambha}
ཀུན་ཏུ་ཤིག་ཤིག|{samprakSubh}
ཀུན་ཏུ་ཤེས་པར་བྱ་བ|{AjJeyA}
ཀུན་ཏུ་ཤེས་པར་བྱེད་པ|{AjJApanIyA}
ཀུན་ཏུ་སྲུངས་ཤིག|{ArakSayiSyatha}
ཀུན་ཏུ་གསལ|{AdIpaka, AbhA, AbhAsa}
ཀུན་ཏུ་བསགས་པ|{Acita}
ཀུན་ཏུ་བསུང|{samantagandha}
ཀུན་ཏུ་བསྲུང་བ|{ArakSA}
ཀུན་ཏུ་བསྲུངས་པ|{ArakSA}
ཀུན་གཏན་དུ|{sarveNa sarvam}
ཀུན་གཏུམ|{caNDAla}
ཀུན་གཏོང|{santyAga}
ཀུན་བཏགས|{parikalpita}
ཀུན་བཏུས|{samucchaya}
ཀུན་རྟོག|{1) vikalpa 2) saMskAra 3) SaGkalpa}
ཀུན་རྟོག་པ|{ßparikalpa}
ཀུན་རྟོག་པ་དང་མཚན་མ|{parikalpitanimitta}
ཀུན་རྟོག་བྱེད|{saGkalpayiSyAmi}
ཀུན་སྟེར|{sarvaMdada}
ཀུན་སྟོབས|{sarvabala}
ཀུན་བརྟགས|{1) parikalpana 2) parikalpita}
ཀུན་བརྟགས་པ|{1) parikalpa 2) parikalpita}
ཀུན་བརྟགས་པའང་མ་ཡིན་པ|{aparikalpita}
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད|{parikalpitasvabhAva}
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད་བསྟན་པ|{parikalpitasvabhAvadezanA}
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད་རྣམ་པར་བཞག་པ|{parikalpitasvabhAvavyavasthApana}
ཀུན་བརྟགས་པའི་མཚན་ཉིད|{parikalpitalakSaNa}
