འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
འདོད་ཡོན|'dod pa'i yon tan; འདོད་པའི་ཡོན་ཏན sense stimulus/_pleasure/_experience
འདོད་པའི་དོན|desired aim/_goal
འདོད་པའི་ཁམས|desire realm
འདོད་པའི་ཡོན་ཏན|sense stimulus/_pleasure/_experience
འདོད་པའི་དད་པ|faith based on desire (to emulate)
འདོད་འཇོའི་བ|magical cow that provides all that is wished for/_desirable
འདོད་ཡོན་གྱི་སྣང་བ|(pleasureable) sense perceptions
འདོད་ཡོན་གྱི་སྣམ་བུ|stylobate/_projecting ledge (of mansion) for offering goddesses
འདོགས་པ|/_gdag/_btags/_thogs pa - to apply/_attach (a label); to designate/_label; to refer to
འདོན་པ|བཏོན་པ to elicit/_cause to emerge/_eject; to shed
འདྲ་འབག|འབག likeness; mask
འདྲ་བ|. . . (dang) 'dra ba - similar/_analogous to . . . ; approximation of . . . ; comparable to . . . ; - what is, in effect, . . .
འདྲེ|demon
འདྲེན་པ|(to) guide/_lead; to serve (feast)
འདྲེས་པ|to confuse/_muddle/_mix (things) up; confused/_confounded; adulterated
འདྲིལ་བ|to roll/_twirl/_spin; to roll/_coil up; to blend
འདྲིས་པ|be well acquainted; to be well acquainted (with)/_apprised of/_informed about
འདུ་འཛི|busyness
འདུ་བ|འདུས་པ to come together/_gather; འདུས་པ to come together/_gather/_be subsumed/_unite; isc. to be found (in); isc. to be embraced by (with instrumental). (in)congruity [?]; to be subsumed
འདུ་བྱེད|(pre)disposition; mental state; conditioning/_volitional/_formative patterns/_factors [fourth of mind-body aggregates]; mental patterning (formation of) karmic patterning [second of twelve links of interdependent connection]
འདུ་ཤེས|perception; idea; concept
འདུ་འཕྲོད་པ|sexual contact
འདུ་བྱེད་པ|to create/_form (karmic) patterns/_conditioning factors
འདུ་བྱེད་ཀྱི་ཕུང་པོ|aggregate of conditioning factors/_volitional patterns/_factors/_states
འདུ་འབྲལ་མེད་པ|(used as noun phrase) unity beyond union or separation; unity beyond things coming together/_uniting and then separating (re more than one factor) not/_without coming together/_uniting with or separating from; not/_without ever joining with or separating from (re one factor) without/_involving no/_not subject to union or separation; not forming or disintegrating; not made or unmade
འདུ་ཤེས་ཀྱི་ཕུང་པོ|aggregate of perceptions
འདུ་ཤེས་གསུམ་ལྡན|endowed/_infused with/_within the context of three authentic perceptions
འདུ་ཤེས་མེད་པ|without/_devoid of perception
འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད|realm of neither perception nor nonperception
འདུག་པ|to stay/_remain; to turn out to be
འདུག་ཚུལ|mode of presence [?]; the way in which (something) is present
འདུལ་བ|to guide/_tame/_control; tamed (as in animals); monastic/_ethical codes; restraint
འདུན་པ|(purposeful) intent(ion)/_will
འདུས་བྱས|composite (factor/_phenomenon); compounded (of causes and conditions); isc. created through circumstances
འདུས་པ|འདུ་བ to come together/_gather/_be subsumed/_unite; isc. to be found (in); isc. to be embraced by (with instrumental)
འདུས་མ་བྱས|uncompounded (of causes and conditions); noncomposite (factor/_phenomenon); isc. unmade
འདུས་མ་བྱས་པ|uncompounded (of causes and conditions); noncomposite (factor/_phenomenon); isc. unmade
འཛད་མེད|ཟད་མེད inexhaustible
འཛད་པ|ཟད་པ to become exhausted/_depleted; isc. to (be) resolve(d); isc. to revert
འཛིན་ཆགས|reifying attachment
འཛིན་མེད|འཛིན་པ་མེད་པ without reifying concepts/_concept(ualization)
འཛིན་པ|ཟིན་པ (process of) (subjectively oriented) fixation/_perception/_conceptualization; reification/_reifying concepts; to reify/_conceive (of)/_apprehend/_conceptualize (as a subject); to invest with; to perceive; isc. to perceive/_think in terms of . . .; isc. to misconstrue/_misperceive; isc. reifying perceptions
འཛིན་རྟོག|reifying thinking/_thought(s)/_concept(s)
འཛིན་རྩོལ|efforts at reification/_reifying; reifying effort(s)
འཛིན་ཡུལ|reified object
འཛིན་ཞེན|fixating concepts; conceptualization/_reification and fixation
འཛིན་པ་མེད་པ|without reifying concepts/_concept(ualization)
འཛིན་པའི་སེམས|subjective mind; reified mind
འཛོལ་བ|to be confused (with); to be incompatible (with); to be at cross purposes; to be unreconciled (with)
འཛོམ་པ|to converge/_come together
འཛུད་པ|གཟུད་པ to enter (into)/_engage in
འགའ་ཤས|some/_a few (people)
འགག|significance/_significant point/_implication
འགག་འགྱུར|process that causes cessation of prior influences; འགག་འགྱུར་གྱི་ལམ process that causes cessation of prior influences
འགག་བསྡམ|འགག་སྡོམས་པ to discern the implications of . . . ; to determine the significance of . . . ; to distil the essentials (of); isc. to highlight; isc. to reduce (to)
འགག་མེད|ceaseless/_unceasing; isc. unimpeded
འགག་པ|དགག་པ to deny/_negate/_refute. isc. anything that could cease
འགག་པའི་མཐའ|limitation of cessation; extreme/_limitation of cessation
འགག་བསྡུ་བ|to focus on
འགག་པ་མེད་པ|ceaseless/_unceasing; isc. unimpeded
འགགས་མེད|ceaseless/_unceasing; isc. unimpeded
འགགས་པ་མེད་པ|ceaseless/_unceasing; isc. unimpeded
འགལ་འདུ|contradiction; contradiction and/_or incongruity
འགལ་འཁྲུལ|confusion; stubbornness and confusion
འགལ་བ|. . . dang 'gal ba - to be incompatible with/_mutually exclusive; to subvert. contradiction; to contradict/_be at odds with
འགལ་རྐྱེན|adverse/_counterproductive circumstance/_condition
འགལ་བསྡུད་པ|to summarize the contradictions [in a debate/_argument]
འགལ་སྡུད་པ|to summarize the contradictions [in a debate/_argument]
འགེགས་པ|བཀག་པ,་དགགས་པ to hinder/_obstruct/_thwart
འགོད་པ|བཀོད་པ to establish/_place
འགོག་མེད|unobstructed/_unimpeded/_unhindered
འགོག་པ|to cease; cessation; to refute; refutation
འགོག་པའི་སྙོམས་འཇུག|meditative equipoise of cessation
འགོག་པའི་བདེན་པ|truth of cessation (of suffering)
འགོག་པ་ཆོས་ཤེས|འགོག་པ་ལ་ཆོས་ཤེས་པ knowledge of the phenomenon of the cessation of suffering [specifically in the desire realm]
འགོག་པ་ཆོས་བཟོད་པ|འགོག་པ་ལ་ཆོས་ཤེས་པའི་བཟོད་པ patient acceptance producing knowledge of the phenomenon of the cessation of suffering [specifically in the desire realm]
འགོག་པ་རྗེས་བཟོད|འགོག་པ་ལ་རྗེས་སུ་ཤེས་པའི་བཟོད་པ; འགོག་པ་ལ་རྗེས་སུ་ཤེས་པའི་བཟོད་པ patient acceptance producing subsequent knowledge of the cessation of suffering [specifically in the two higher realms]
འགོག་པ་རྗེས་ཤེས|འགོག་པ་ལ་རྗེས་སུ་ཤེས་པ subsequent knowledge of the cessation of suffering [specifically in the two higher realms]
འགོག་པ་མེད་པ|unobstructed/_unimpeded/_unhindered
འགོལ་བ|to deviate/_go astray/_err
འགོམས་པ|to become accustomed to; isc. pattern
འགོང་པོ|shape-shifting/_insidious demon
འགོར་བ|to (be) delay(ed)
འགྲོ་འདུལ|to guide/_tame beings; guide/_tamer of beings
འགྲོ་བ|. . . du 'gro ba - to come to . . .. to go (about); being(s); isc. to be
འགྲོ་དོན|welfare of beings
འགྲོ་དྲུག|six kinds of ordinary beings; (beings of/_in) the six states (of ordinary being)
འགྲོ་མཁན|agent going (out of existence)
འགྲོ་ས|destination to which (something) goes
འགྲོ་ཡུལ|destination; destination to which (something) goes
འགྲོ་བ་རིགས་དྲུག|six kinds of ordinary beings; (beings of/_in) the six states (of ordinary being). six classes/_states of ordinary being(s)
འགྲོ་བའི་མཐའ|limitation of going; extreme/_limitation of going
འགྲོ་བའི་ས|destination to which (something) goes
འགྲོ་བའི་ཡུལ|destination to which (something) goes
འགྲོགས་པ|to associate/_be in intimate contact (with)
འགྲོལ་བ|freedom; to become free(d)/_find freedom; isc. to cease/_disappear; [in cases of shar gnas grol gsum, or where common decency dictates] freed; [in other cases of rang grol, etc.] free
འགྲོས|mode/_manner; gait/_stance [in dance]; isc. dance
འགྲུབ་པ|to have ever existed; to be accomplished/_realized/_attained/_ensured/_brought about; to come about; to gain attainment; to be confirmed/_proven/_established; to be finished/_completed; isc. to serve/_function (as); isc. to be in its own right/_to be a given; isc. to allow for/_ensure; isc. to be valid/_convincing
འགུག་པ|བཀུག་པ to summon (premptorily)
འགུལ་བ|to become aroused/_vascillate
འགྱེད་པ|to send forth/_issue forth/_emerge
འགྱིང་བག|dignity/_majesty; dignified/_majestic bearing
འགྱིང་སྟབས|dignified bearing/_stance [in dance]
འགྱོད་པ|regret
འགྱུ་འཕྲོ|stirring and proliferation [of thoughts]
འགྱུ་བ|(mind/_mental states of) stirring; to stir
འགྱུ་བྱེད|isc. what would otherwise cause (mind) to stir
འགྱུར་བ|(to) change/_become; to mean that/_imply
འགྱུར་བས|. . . r 'gyur bas/_nas - this means/_entails/_implies that . . .
འགྱུར་མེད|changeless(ness)
འགྱུར་བ་མེད་པ|changeless(ness)
འགྱུར་བ་མེད་པའི་ཆོས་དབྱིངས|changeless basic space of phenomena
འཇའ་ལུས|rainbow body; འཇའ་ལུས་འཕོ་བ་ཆེན་པོ (supreme transference that is) rainbow body
འཇལ་བ|to determine/_assess/_compare/_evaluate/_weigh/_fathom
འཇིག་ལྟ|'jig tshogs la lta ba; འཇིག་ཚོགས་ལ་ལྟ་བ view of/_to view the perishable collection [of the mind-body aggregates to be a self with ultimate existence]; to view with naïve realism; to regard the transitory aggregates of the body-mind to be real
འཇིག་མེད|imperishable/_indestructible
འཇིག་པ|བཤིག་པ - to be destroyed/_disintegrate; (phase of) destruction; isc. to collapse. བཞིག་པ,་བཞིག་པ to destroy/_do away with/_tear down; to disintegrate/_be destroyed/_be subject to destruction/_(be) undermine(d); isc. to eliminate
འཇིག་པའི|. . . subject to destruction
འཇིག་རྟེན|(ordinary/_perishable) world (system)/_universe
འཇིག་ཚོགས|perishable/_transitory aggregates
འཇིག་ཚོགས་ལ་ལྟ་བ|འཇིག་ལྟ view of/_to view the perishable collection [of the mind-body aggregates to be a self with ultimate existence]; to view with naïve realism; to regard the transitory aggregates of the body-mind to be real
འཇིག་པ་མེད་པ|indestructible; imperishable/_indestructible
འཇིག་རྟེན་པ|worldly/_mundane (person)
འཇིག་རྟེན་ཆོས་མཆོག|(phase of) highest worldly experience
འཇིག་རྟེན་པའི་སྒོམ་བྱུང|(factor) born of mundane states of meditation
འཇིག་རྟེན་ལས་འདས་པ|transcendent/_transmundane
འཇིགས་པ|to be afraid/_terrified; fear(ful consequence)
འཇིགས་རུང|འཇིགས་སུ་རུང་བ fearsome [one of the nine moods of dance (form)]
འཇིགས་སུ་རུང་བ|འཇིགས་རུང fearsome [one of the nine moods of dance (form)]
འཇོ་བ|milk; to milk; to dispense/_yield
འཇོག་པ|ག། བཞག་པ to classify/_consider (as being)/_assign/_place; to rest/_settle; to affirm; isc.to drop/_let go of /_set aside/_disregard
འཇོག་སྒོམ|(intuitive) resting/_settling meditation
འཇོམས་པ|vanquish; to overcome/_vanquish/_conquer
འཇུག་པ|to engage/_enter/_begin/_become involved; to infuse (i.e., with blessings); involvement/_function(ing)/_operation; isc.to merge with/_gain access
འཇུག་པའི་སེམས|bodhicitta/_awakening mind/_attitude of involvement
འཇུག་པའི་སེམས་བསྐྱེད་པ|to give rise to/_arouse bodhicitta as involvement
འཇུར་སེམས|འཇུར་བུའི་སེམས ordinary compulsive mind; compulsions of ordinary mind; finicky/_overly critical mind
འཇུར་བུའི་སེམས|འཇུར་སེམས ordinary compulsive mind; compulsions of ordinary mind; finicky/_overly critical mind
འཁེངས་པ|to fill up/_become filled with
འཁོན་འཛིན|rancor
འཁོར|retinue/_entourage; secondary figures in a mandala
འཁོར་འདས|samsara and nirvana
འཁོར་བ|cyclic existence/_samsara; to be caught up in/_move through/_circle in samsara
འཁོར་གསུམ|three focal points; subject, object, and their interrelationship
འཁོར་ལོ|wheel; chakra/_focal center of subtle energy; encircling ring; isc. (mandala) circle; isc. ongoing/_continuous principle/_state
འཁོར་འདས་འུབ་ཆུབ|all-embracing consummation/_completion of samsara and nirvana
འཁོར་འདས་སུ་སྣང་ཙམ|what simply manifests as samsara and nirvana
འཁོར་འདས་རུ་ཤན|འཁོར་འདས་རུ་ཤན་དབྱེ་བ (delineating) the gap between samsara and nirvana
འཁོར་ལོ་བར་པ|middle turning of the wheel [of Buddhadharma]
འཁོར་ལོ་ཐ་མ|final turning of the wheel [of Buddhadharma]
འཁོར་ལོ་དང་པོ|first turning of the wheel [of Buddhadharma]
འཁོར་གསུམ་རྣམ་དག|threefold total/_comprehensive purity/_freedom; total purity/_freedom of/_from subject, object, and their interrelationship
འཁོར་གསུམ་ཡོངས་དག|འཁོར་གསུམ་རྣམ། ཡོངས་དག། གྲོལ threefold total/_comprehensive purity/_freedom; total purity/_freedom of/_from subject, object, and their interrelationship
འཁོར་བ་དོང་སྤྲུགས|འཁོར་བ་དོང་ནས་སྤྲུགས་པ to dredge/_stir up the pit of cyclic existence (from its depths)
འཁྲུལ་འཛིན|confusing/_erroneous perceptions/_inferences
འཁྲུལ་འཁོར|vicious circle of confusion; machinations (of . . . )
འཁྲུལ་གཞི|ground of confusion
འཁྲུལ་པ|(state of) confusion; to be confused/_mistaken; to (mis)perceive due to confusion
འཁྲུལ་རྣམ|འཁྲུལ་པའི་རྣམ་པ specific form imposed by (a state of) confusion
འཁྲུལ་རྟོག|confusing thinking/_thought (pattern)s/_concept; thought (pattern)s based on confusion
འཁྲུལ་སྣང|(sensory) appearances/_perceptions based on/_due to/_resulting from/_arising from (states of) confusion; sensory appearances perceived in confusion
འཁྲུལ་པའི་གཞི|ground of confusion
འཁྲུལ་པའི་རྣམ་པ|specific form imposed by (a state of) confusion
འཁུར་བ|pastry
འཁྱམས་པ|to wander
འཁྱིལ་བ|to converge/_be encompassed (within)/_come together/_coalesce/_merge; to dwell innately; isc. to be encompassed/_embraced
འཁྱོལ་བ|to reach/_arrive at; isc. to be resolved
འཁྱུད་པ|to embrace
འོ་ཅོག|(noun +) འོ་ཅོག in its/_their entirety; all possible . . . ; all . . . that there is/_are
འོ་མ|milk
འོ་ན|well, . . . ; you might respond/_protest/_argue that . . .
འོད|light; luminosity; isc. illumination/_illuminating
འོད་གསལ|(state of) utter lucidity (of being/_mind)*; utterly lucid
འོད་ལྔ|five(-colored) light(s)
འོད་ཕུང|mass of light
འོད་ཟེར|light ray/_beam
འོད་གསལ་བ|(state of) utter lucidity (of being/_mind)*; utterly lucid
འོད་འཕྲོ་བ|the radiating one [4th spiritual level/_bhumi]
འོད་བྱེད་པ|the illuminating one/_illumination [3rd spiritual level/_bhumi]
འོད་ལྟར་སྣང་བ|arising (in a manner) consistent with light/_luminosity*
འོད་ཀྱི་སྣང་བ|luminous vision/_manifestation
འོད་དཔག་མེད|Amitabha/_Limitless Illumination
འོག་འགྱུ|subliminal mental stirring
འོག་གཞི|underlying ground (of mansion)
འོག་མིན|pinnacle pure realm; pure realm of Akanishtha/_Pinnacle Under Nothing
འོལ་མ་སེ|pearl(-colored)
འོང་བ|to come
འོང་བའི་མཐའ|limitation of coming; extreme/_limitation of coming
འོས་པ|suitable; (to be) suitable/_fitting/_valid
འཕགས་པ|superior; spiritually advanced/_realized (person) (arya); to be exalted/_raised above
འཕགས་ཡུལ|holy land/_country (of India)
འཕགས་པའི་ཡུལ|holy land/_country (of India)
འཕེལ་བ|to increase/_flourish
འཕེན་པ|to propel/_direct (toward)
འཕོ་བ|transference of consciousness; to transfer/_shift; isc. shift in perspective/_paradigm shift
འཕོ་མེད|transitionless/_without transition
འཕོ་བ་ཆེན་པོའི་སྐུ|enlightened form (resulting from) supreme transference of consciousness
འཕོ་འགྱུར་བ|to undergo transition or change
འཕོ་འགྱུར་མེད་པ|without transition or change [KOT: 'pho ba=gzhan du 'gro ba; 'gyur ba=brtan po med pa]
འཕྲད་པ|to meet/_come together/_encounter; to hit on
འཕྲལ་བ|ཕྲལ་བ,་དབྲལ་བ to be separated (off from)/_parted with; to (be) isolate(d from)
འཕྲལ་དུ|འཕྲལ་གྱི immediate(ly)
འཕྲལ་གྱི|འཕྲལ་དུ immediate
འཕྲལ་གྱིས|འཕྲལ་དུ immediate(ly)
འཕྲང|impasse; narrow confines/_defile
འཕྲང་བསལ་བ|to remove/_dispel constraints (to . . . ); isc. (to be) free of any constraints
འཕྲོ་འདུ|complexity and simplicity; being complex or simple; to complicate or simplify; proliferation and/_or reduction/_subsiding/_resolution (of thoughts); shining forth and reconverging (of lights rays in visualizations); complication and/_or simplification; isc. multiply and dwindle
འཕྲོ་བ|འཕྲོས་པ to shine forth/_radiance (intrans.); to unfold
འཕྲོ་གཞི|ground for the unfolding (of . . . )
འཕྲོས་པ|འཕྲོ་བ to shine forth/_radiance (intrans.); to unfold
འཕྲུལ|magic
འཕྲུལ་མཚན་བཞི་བཅུ|forty secondary emanations (of Padmasambhava)
འཕྱང་ཆེན་པོ|important/_major criteria
འཕྱར་བ|to brandish/_hold aloft
འཕྱོ་བ|to stir/_surge/_course/_flow; playful stirring/_gentle surging
འཕྱུགས་མེད|without blunder/_mishap
འཕྱུགས་པ|blunder/_mishap
འཐད་པ|to follow logically/_be reasonable/_(be) entail(ed)/_be tenable; rationale; reasonable; logically consistent; logical consistency/_proof; feasability; underlying logic
འཐས་པ|hard/_solid (seeming)
འཐིབས་པ|(to be) torpid; torpor
འཐིམ་པ|to dissolve/_be absorbed (into)
འཐོམ་ཡོ་རེ་བ|bewildered/_dazed/_dumfounded
འཐོན་པ|to emerge/_come forth/_issue; to make an entrance (in dance)
འཐོར་ལུང|incomplete oral transmission [KNT]
འཚལ|please . . . ; I ask for/_(you) to . . .
འཚང་རྒྱ་བ|to awaken to buddhahood/_enlightened being
འཚིག་པ|malice
འཚོ་བ|livelihood
འཚོ་སྐྱོང་བ|to foster/_nurture/_encourage
འཚོལ་བ|ཚོལ་བ,་བཙལ་བ to seek/_look for/_search for
འཚུབས་པར|vigorously
འུབ་ཆུབ|འུབ་ཀྱིས་ཆུབ་པ to encompass/_embrace fully; (to embrace) the whole/_in one fell swoop; to be thoroughly perfect; all-encompassing/_all-embracing; fully embraced/_encompassed; isc. to consummate
འུབ་ཀྱིས་ཆུབ་པ|to encompass/_embrace fully; (to embrace) the whole/_in one fell swoop; to be thoroughly perfect; all-encompassing/_all-embracing; fully embraced/_encompassed; isc. to consummate
འུབ་ཀྱིས་འདུ་བ|to subsume/_include fully
འུག་ཕྲུག་པ|follower of Uluka (=Kanada)
ཨ་ཕྱི|grandmother
ཨ་ཏི་ཡོ་ག|atiyoga; (ninth of nine yanas)
ཨ་ནུ་ཡོ་ག|anuyoga; (eighth of nine yanas)
ཨར་གཏད|ཨར་ལ་གཏད་པ to focus intently
ཨར་སངས|fundamentally cleared away
ཨར་ལ་གཏད་པ|ཨར་གཏད to focus intently
བE་དུར་ཡ|gemstone (in general)
བ་མེན|བ་མེན་གྱི་རབ༹་བ (horn of) a wild gayal ox
བབ་སོ|mainstream line of transmission
བབས|innate abiding; natural condition/_circumstance(s)
བབས་པ|འབེབས་པ to come (down)
བབས་ཀྱིས་གྲུབ|innately/_inherently ensured/_so/_present
བབས་ཀྱིས་འགྲུབ་པ|innately/_inherently ensured/_so/_present
བག་ཆགས|habit(ual) pattern(ing)
བག་དྲོ|cheerful/_joyful; pleasing
བག་མེད|heedless/_reckless/_careless(ness)
བག་ཡངས|easy-going; carefree
བག་ཡོད|heedful/_careful(ness)
བག་མེད་པ|heedless/_reckless/_careless(ness)
བག་ཆགས་སྣ་ཚོགས་པའི་ཀུན་གཞི|ground of all experience as a multiplicity of habitual patterning/_patterns
བག་ཆགས་ལུས་ཀྱི་ཀུན་གཞི|ground of all ordinary experience as the embodiment of habitual patterning
བག་ཆགས་ཡང་དག་བཅོམ་པ|authentic overcoming of habitual patterning/_patterns
བག་དྲོ་བ|cheerful/_joyful; pleasing
བག་ལ་ཉལ་བ|(to be) latent (as a) potential
བན་བུན|བན་ནེ་བུན་ནེ disconnected
བན་ནེ་བུན་ནེ|disconnected
བང་ཁང|storehouse; བང་མཛོད storehouse
བང་མཛོད|བང་ཁང storehouse
བར|middle; interval
བར་ཆད|obstacle - (inanimate); obstructor (animate)
བར་དོ|intermediate state; intermediate state/_interval (between death and rebirth)
བར་ཁྲ|internal agreement, agreement between parties [KNT]
བར་མེད|. . . (la) bar med - nothing stands between . . . ; isc. there is no gap between . . .. བར་མཚམས་མེད་པ uninterrupted; seamless; without gap/_interstice; isc. no separation/_discontinuity
བར་སྣང|surrounding space
