སྐུ་མ་རྙོངས་པ|a­bhugna­kukṣi­tā
གནས་ལ་རྟེན་པ་མེད་པ|a­ni­keta­sthita
དགའ་ལྡན་གྱི་གནས|Tuṣitabhavana
ཚངས་པའི་གནས|brahmavihāra
ཤུ་བ|dardgu
སྨོན་པ་མེད་པ|apraṇihita
སྨོན་པ་མེད་པ|apraṇihita
མཚན་མ་མ་མཆིས་པ|animitta
མཚན་མ་མེད་པ|animitta
མཚན་མ་མེད་པ|animitta
ལྡོག་པ|vyāvṛtti
མཆོག་ཏུ་འཛིན་པ་མེད་པ|a­parā­marśaṇa­tā
བདེ་བ་དང་སྡུག་བསྔལ་ཐམས་ཅད་ལ་མངོན་པར་དགའ་བ་མེད་པ|sarva­sukhga­duḥkha­nirabhi­nandī
བདག་མེད་པ|anātmatā; nairātmya
བདག་མེད|an­ātman
ཡང་དག་པར་ཡོངས་སུ་གྲུབ་པ|pari­niṣpanna
ཤིན་ཏུ་དབེན་པ|aty­anta­vivikta
སྡུད་པར་བགྱིད|pari­graha­karoti
ཏིང་ངེ་འཛིན|samādhi
ཏིང་ངེ་འཛིན|samādhi
སྙོམ་འཇུག|samāpatti
ཏིང་ངེ་འཛིན|samādhi
སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན|māyopama­samadhi
བསམ་གཏན|dhyāna
སྙོམས་པར་འཇུག་པ|samāpatti
བསམ་གཏན|dhyāna
སྒྲོལ་མ་འབྱུང་བའི་ཏིང་ངེ་འཛིན|Tārāsamādhi
མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་དགུ|navānu­pūrva­vihāra­samāpatti
ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|a­kiṃ­canyāyatana
འདུ་ཤེས་མེད་མིན་གྱི་སྙོམས་འཇུག|naiva­saṃjñā­saṃjñāyatana
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|ākāśānantyāyatana
རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ཀྱི་སྙོམས་འཇུག|vi­jñānāntyāyatana
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|sarvendriya­bala­bodhyaṅga­vimokṣa­dhyāna­samādhi­samāpatti­saṃkleśa­vyavadāna-vyuthāna­yathā­bhūta­pra­jñāna
མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་དགུ|navānupūrva­vihāra­samāpattayaḥ
དབང་འབྱོར་པ|a­bhujiṣya
མི་གཡོ་བ|acala
མི་གཡོ་བ|Acala
མི་གཡོ་བ|Acala
མི་གཡོ་བ་ནག་པོ|Kṛṣṇācala
མི་གཡོ་བ་ལྗང་གུ|Śyāmācala
མི་གཡོ་བ་དམར་པོ|Raktācala
མི་གཡོ་བ་གཀར་པོ|Śvetācala
མི་གཡོ་བ་སེར་པོ|Pītācala
མི་གཡོ|acalā
མི་གཡོ་བ|acalā
མི་གཡོ་བ|acalā
མེ|Acalā
མེ|Acalā
བློ་གྲོས་མི་གྱོ་བ|Acalamati
བློ་གྲོས་མི་གྱོ་བ|Acalamati
སློབ་དཔོན|ācārya
སློབ་དཔོན|ācārya
སློབ་དཔོན|ācārya
སློབ་དཔོན|ācārya
སློབ་དཔོན|ācārya
སློབ་དཔོན|ācārya
སློབ་དཔོན|ācārya
སློབ་དཔོན|ācārya
ཁས་ལེན|upaiti
བཟོད་ལ་འདོད་པ|kṣamaṇā­rocanā
བཟོད་པ|kṣānti
བཟོད་པ|kṣānti
ཡོངས་སུ་གཟུང་བ་མེད་པ|pari­graha­tā
ཡོངས་སུ་གཟུང་བ་མེད་པ|pari­graha­tā
བརྒྱད་པའི་ས|aṣṭamaka­bhūmi
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|anutpattika­dharma­kṣānti
མི་སྐྱེ་པའི་ཆོས་ལ་བཟོད་པ|an­utapattika­dharma­kṣānti
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ|anutpattika­dharma­kṣānti
མི་སྐྱེ་པའི་ཆོས་ལ་བཟོད་པ|an­utapattika­dharma­kṣānti
ཡོངས་སུ་ཟིན་པ|pari­gṛhīta
གོ་འབྱེད|ava­kāśa bhavati
དངོས་གྲུབ|siddhi
དངོས་གྲུབ|siddhi
དངོས་གྲུབ|siddhi
རྨད་བྱུང|adbhuta
ཡོན་ཏན་ཐམས་ཅད་ཀྱི་ཚོགས་སུ་གྱུར་པ|sarvaguṇasaṃcaya
སྨོན་ལམ་བསམ་གྱིས་མི་ཁྱབ་པ་ཁྱད་པར་དུ་འཕགས་པའི་རྒྱལ་པོ|Acintya­praṇidhāna­viśeṣa­samudgata­rāja
སྨོན་ལམ་བསམ་གྱིས་མི་ཁྱབ་པ་ཁྱད་པར་དུ་འཕགས་པའི་རྒྱལ་པོ|Acintya­praṇidhāna­viśeṣa­samudgata­rāja
ཆོས་ཉིད་ཀྱིས་ཐོབ་པ|dharmatā­prati­lambhika
ཀུན་ཏུ་འཛིན་པའི་སེམས|ā­graha­citta; ud­graha­citta; pari­graha
ཡོངས་སུ་འཛིན་པ|ā­graha­citta; ud­graha­citta; pari­graha
ལས|karman
ནན་ཏུར་གྱི་ལས|praṇidhikarman
བསྐྲད་པའི་ལས|pravāsanīyakarman
བསྡིགས་པའི་ལས|tarjanīyakarman
གནས་ནས་དབྱུང་བའི་ལས|utkṣepaṇīyakarman
ཕྱིར་འགྱེད་པའི་ལས|pratisaṃharaṇīyakarman
སྨད་པའི་ལས|nirgarhaṇīyakarman
ལས་བརྗོད་པ|karmavācanā
ལས་བརྗོད་པ|karmavācanā
གསོལ་བ་འབའ་ཞིག་གི་ལས|*muktikājñāptikarman
གསོལ་བ་དང་གཉིས་ཀྱི་ལས|jñāptidvitīyakarman
གསོལ་བ་དང་བཞིའི་ལས|jñāpticaturthakarman
བསྡིགས་པའི་ལས|tarjanīyakarman
སྨད་པའི་ལས|nirgarhaṇīyakarman
བསྐྲད་པའི་ལས|pravāsanīyakarman
གསོལ་བ་འབའ་ཞིག་གི་ལས|*muktikājñāptikarman
ཕྱིར་འགྱེད་པའི་ལས|pratisaṃharaṇīyakarman
གནས་ནས་དབྱུང་བའི་ལས|utkṣepaṇīyakarman
གསོལ་བ་དང་བཞིའི་ལས|jñāpticaturthakarman
གསོལ་བ་དང་གཉིས་ཀྱི་ལས|jñāptidvitīyakarman
ལས|karma
ལས་ཀྱི་ཕྱག་རྒྱ|karmamudrā
ཡང་དག་པའི་ལས་ཀྱི་མཐའ|samyak­karmānta
ལས|karma
བྱ་བ་གྲུབ་པའི་ཡེ་ཤེས|kṛtyānuṣṭhāna­jñāna
དགེ་བའི་རྩ་བ|kuśala­mūla
ལས་གཅིག་པ|eka­karmāṇa
འཁོར་གསུམ|trimaṇḍala
ལས་ཀྱི་ཕྱག་རྒྱ|karmamudrā
བྱ་བ་གྲུབ་པའི་ཡེ་ཤེས|kṛtyānuṣṭhāna­jñāna
ལས་ཁ་ན་མ་ཐོ་བ་དང་བཅས་པ|sāvadyasya kāya­vāg­manas­karma
བྱེད་པ་པོ|kartṛ
མཚམས་མེད་པ་ལྔ|pañca ānantarya
སྐྱེ་བ|jāti
མངོན་སུམ་དུ་བྱེད|sākṣāt­karoti; abhi­nir­vartate; abhi­nir­harati
མངོན་པར་གྲུབ|sākṣāt­karoti; abhi­nir­vartate; abhi­nir­harati
འདུ་བྱེད་རྣམས་མངོན་པར་འདུ་བྱེད|abhi­saṃ­skārān abhi­saṃ­skaroti
འདུ་བྱེད་རྣམས་མངོན་པར་འདུ་བྱེད|abhi­saṃ­skārān abhi­saṃ­skaroti
ལྕང་ལོ་ཅན|Aḍakavatī
ལྕང་ལོ་ཅན|Aḍakavatī
ལྕང་ལོ་ཅན|Aḍakavatī
ལྕང་ལོ་ཅན|Aḍakavatī
རྡོ་རྗེ་ལྟ་བུ|vajropama
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན|vajropama­samādhi
རྡོ་རྗེ་ལྟ་བུའི་ཡེ་ཤེས|vajropama­jñāna
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་སྐད་ཅིག་གཅིག་དང་ལྡན་པའི་ཤེས་རབ|vajropama­samādhi sthitvaika­citta­kṣaṇa­samāyukta­prajñā
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན|vajropama­samādhi
རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་སྐད་ཅིག་གཅིག་དང་ལྡན་པའི་ཤེས་རབ|vajropama­samādhi sthitvaika­citta­kṣaṇa­samāyukta­prajñā
རྡོ་རྗེ་ལྟ་བུའི་ཡེ་ཤེས|vajropama­jñāna
འབྲོག་གནས|Āḍavaka
འབྲོག་གནས|Āḍavaka
ཆོས་རྨད་དུ་བྱུང་བ|adbhūtadharma
ཆོས་རྨད་དུ་བྱུང་བ|adbhūtadharma
རབ་ཏུ་སྙིང་རྗེ་ཅན|Adhi­mātra­kāruṇika
རབ་ཏུ་སྙིང་རྗེ་ཅན|Adhi­mātra­kāruṇika
ཉི་མ|Āditya
ཉི་མ|Āditya
ཉི་མ|Āditya
ཉི་མ|Āditya
ཉི་མའི་འབྱུང|Āditya­saṃbhava
ཉི་མའི་འབྱུང|Āditya­saṃbhava
ཡང་དག་པ་བླང|sam­ādāna­virati
རིན་པོ་ཆེ་ཆེན་པོས་བརྒྱན་པ|Mahā­ratna­prati­maṇḍita
རྒྱན|ābharaṇa; vibhūṣaṇa; maṇḍana
གནོན|parā­kramate
ཕན་ཡོན|anu­śaṃsā
ཀུན་ནས་ཉོན་མོངས་པ|saṃ­kleśika; vi­hanyati
ཉོན་མོངས|saṃ­kleśika; vi­hanyati
ཉོན་མོངས་པའི་ཡིད|kliṣṭamana
ཀུན་ནས་ཉོན་མོངས་པ|saṃkleśa
ཉོན་མོངས|kleśa; saṃ­kleśa; caitasikopa­kleśa
ཀུན་ནས་ཉོང་མོངས་པ|kleśa; saṃ­kleśa; caitasikopa­kleśa
སེམས་ལས་བྱུང་བའི་ཉེ་བའི་ཉོན་མོངས་པ|kleśa; saṃ­kleśa; caitasikopa­kleśa
ཉོན་མོང་པ་ཟད་པ|kleśa­kṣaya
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|sarvendriya­bala­bodhyaṅga­vimokṣa­dhyāna­samādhi­samāpatti­saṃkleśa­vyavadāna-vyuthāna­yathā­bhūta­pra­jñāna
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|sarvendriya­bala­bodhyaṅga­vimokṣa­dhyāna­samādhi­samāpatti­saṃkleśa­vyavadāna-vyuthāna­yathā­bhūta­pra­jñāna
དབང་པོ་དང་སྟོབས་དང་བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་རྣམ་པར་ཐར་པ་དང་བསམ་གཏན་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་པ་ཤེས་པ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ|sarvendriya­bala­bodhyaṅga­vimokṣa­dhyāna­samādhi­samāpatti­saṃkleśa­vyavadāna-vyuthāna­yathā­bhūta­pra­jñāna
ཉོན་མོངས|kleśa; saṃ­kleśa; caitasikopa­kleśa
ཀུན་ནས་ཉོང་མོངས་པ|kleśa; saṃ­kleśa; caitasikopa­kleśa
སེམས་ལས་བྱུང་བའི་ཉེ་བའི་ཉོན་མོངས་པ|kleśa; saṃ­kleśa; caitasikopa­kleśa
ཉོན་མོངས་པའི་ཡིད|kliṣṭamana
ཉོན་མོངས་པ|kleśa
ཉོན་མོངས|kleśa
ཉོན་མོངས|kleśa
ཀུན་ནས་ཉོན་མོངས་པ|saṃkleśa
ཉོན་མོངས་པ|kleśa
ཉོན་མོངས|kleśa
ཉོན་མོངས་པ|kleśa
ཉོན་མོངས་པ་མེད་པ་ཉོན་མོངས་པ་དང་བཅས་པ་ཐམས་ཅད་ཡང་དག་པར་འདུ་བ|anu­saraṇa­sarva­samavasaraṇa
དངང་ལ་དངང་པར་འགྱུར|saṃtrāsam­ā­patsyate
དངང|saṃ­trāsam a­padyate
དངང་བར་འགྱུར|sam­trāsam ā­patsyate
ལུང|āgama
ལུང|āgama
ཨ་ག་རུ|agaru
སྤྲ་བའི་མེ་ཏོག|āgati
བྱེད་དུ་འཇུག་པ་པོ|kārāpaka; kartṛ
བྱེད་པ་པོ|kārāpaka; kartṛ
བྱེད་པ་པོ་མེད་པ|a­kartṛka
ཕུང་པོ|skandha
ཕུང་པོ|skandha
ཕུང་པོ|skandha
ཕུང་པོ|skandha
ཕུང་པོ|skandha
ཕུང་པོ|skandha
ཟག་བཅས་ཀྱི་ཕུང་པོ|sāsrava­skandha
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|śīla­skandha
ཏིང་ངེ་འཛིན་གྱི་ཕུང་པོ|samādhi­skandha
འདུ་བྱེད་ཀྱི་ཕུང་པོ|saṃ­skāra­skandha
འདུ་ཤེས་ཀྱི་ཕུང་པོ|saṃ­jñā­skandha
རྣམ་པར་གྲོལ་བའི་ཕུང་པོ|vi­mukti­skandha
རྣམ་པར་ཤེས་པའི་ཕུང་པོ|vi­jñāna­skandha
ཕུང་པོ|skandha
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|śīla­skandha
ཚོར་བའི་ཕུང་པོ|vedanā­skandha
གཟུགས་ཀྱི་ཕུང་པོ|rūpa­skandha
ཤེས་རབ་ཀྱི་ཕུང་པོ|prajñā­skandha
རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བའི་ཕུང་པོ|vi­mukti­jñāna­darśana­skandha
རྣམ་པར་ཤེས་པའི་ཕུང་པོ|vi­jñāna­skandha
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|śīla­skandha
ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ|śīla­skandha
ཚོར་བའི་ཕུང་པོ|vedanā­skandha
འདུ་བྱེད་ཀྱི་ཕུང་པོ|saṃ­skāra­skandha
རྣམ་པར་གྲོལ་བའི་ཕུང་པོ|vi­mukti­skandha
ཏིང་ངེ་འཛིན་གྱི་ཕུང་པོ|samādhi­skandha
འདུ་ཤེས་ཀྱི་ཕུང་པོ|saṃ­jñā­skandha
གཟུགས་ཀྱི་ཕུང་པོ|rūpa­skandha
རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བའི་ཕུང་པོ|vi­mukti­jñāna­darśana­skandha
ཤེས་རབ་ཀྱི་ཕུང་པོ|prajñā­skandha
ཉེ་བར་ལེན་པའི་ཕུང་པོ|upādānaskandha
ཉེ་བར་ལེན་པའི་ཕུང་པོ|upādānaskandha
ཁྲོ་བ|krodha
རྒ་ཤི|jarāmaraṇa
རྒ་ཤི|jarā­maraṇa
འཁྲུགས་པ|kṣobhaṇa
རྒོད་པ|auddhatya
རྒོད་པ་དང་འགྱོད་པ|auddhatya­kaukṛtya
རྒོད་པ་དང་འགྱོད་པ|auddhatya­kaukṛtya
མེ་ལྷ|Agni
མེ་ལྷ|Agni
མེས་བྱིན|Agnidatta
མེས་བྱིན|Agnidatta
མེའི་རྫ་མ|Agnighaṭa
མེའི་རྫ་མ|Agnighaṭa
མེ་ཡི་དབང་ཕྱུག|Agnīśvara
མེ་ཡི་དབང་ཕྱུག|Agnīśvara
དྲག་པོའི་མཆེ་བ་ཅན|Agradaṃṣṭraka
དྲག་པོའི་མཆེ་བ་ཅན|Agradaṃṣṭraka
བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས|bodhi­pakṣika­dharma
བྱང་ཆུབ་ཀྱི་ཕྱོགས་སུམ་ཅུ་རྩ་བདུན་གྱི་ཆོས|bodhi­pakṣika­dharma
ཨཱིར་བིར|Ailavila
ཨཱིར་བིར|Ailavila
ས་སྲུང་གི་བུ|Airāvaṇa
ས་སྲུང་གི་བུ|Airāvaṇa
གཞལ་མེད་ཁང|vimāna
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མ་སྐྱེས་དགྲ|Ajātaśatru
མི་ཕམ|Ajita
མི་ཕམ|Ajita
མི་ཕམ་པ|Ajita
མི་ཕམ་པ|Ajita
བྱམས་པ|Maitreya; Ajita; Maitraka
མ་ཕམ་པ|Ajita
མ་ཕམ་པ|Ajita
མི་ཕམ|Ajita
མི་ཕམ|Ajita
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྒྲའི་ལ་བ་ཅན|Ajita Keśakambala
མི་ཕམ་སྐྲའི་ལ་བ་ཅན|Ajita Keśakambala
ཀུན་ཏུ་འཚོ་བ་པ|Ājīvika
ཀུན་ཏུ་འཚོ་བའི་རིགས|Ājīvika
ཀུན་ཏུ་འཚོ་བའི་རིགས|Ājīvika
ཀུན་ཏུ་འཚོ་བ་པ|Ājīvika
ཀུན་ཏུ་འཚོ་བ་པ|Ājīvika
ཀུན་ཤེས་ཀཽཎ་ཌི་ཉ|Ājñātakauṇḍinya
ཀུན་ཤེས་ཀཽཎ་ཌི་ཉ|Ājñātakauṇḍinya
ཀུན་ཤེས་ཀཽ་ཎྜི་ཉ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽ་ཎྜི་ཉ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎྜིནྱ|ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎཌི་ཉ|Ājñāta­kauṇḍinya
ཀུན་ཤེས་ཀཽཎཌི་ཉ|Ājñāta­kauṇḍinya
ཅང་ཤེས་ཀཽཎྜི་ནྱ|Ājñāta­kauṇḍinya
ཅང་ཤེས་ཀཽཎྜི་ནྱ|Ājñāta­kauṇḍinya
ལ་ཕུག|yavānī
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
འོག་མིན|Akaniṣṭha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའི་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའ་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའ་སྙིང་པོ|Ākāśagarbha
ནམ་མཁའ་ལ་གནས་པ|Ākāśa­pratiṣṭhita
ནམ་མཁའ་ལ་གནས་པ|Ākāśa­pratiṣṭhita
མི་ཕྱེད་པ|Ākhaṇḍala
མི་ཕྱེད་པ|Ākhaṇḍala
མི་རྡུང|Ākoṭā
མི་རྡུང|Ākoṭā
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
བློ་གྲོས་མི་ཟད་པ|Akṣayamati
མི་བསྐྱོད་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|akṣobhya
མི་འཁྲུགས་པ|akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་བསྐྱོད་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་པ|Akṣobhya
མི་འཁྲུགས་རྒྱལ|Akṣobhyarāja
མི་འཁྲུགས་རྒྱལ|Akṣobhyarāja
ལྕང་ལོ་ཅན|Alakāvatī
ལྕང་ལོ་ཅན|Alakāvatī
ལྕང་ལོ་ཅན|Alakavatī
ལྕང་ལོ་ཅན|Alakavatī
རྣ་ཆ|Alambuśā
རྣ་ཆ|Alambuśā
ཤེས་བཞིན་ཅན|saṃ­prajāna
ཤེས་བཞིན|sam­prajanya
ཤེས་བཞིན་དུ་སྤྱོད|saṃ­prajāna­cārī bhavati
ཨཱ་ལི་ཀཱ་ལི|āli kāli
ཨཱ་ལི་ཀཱ་ལི|āli kāli
འགྱེས་པ|parataḥ
སེམས་གཞན་དུ་འགྱུར|cittasyānya­thā bhavati; anya­tvam­āpadyate
གཞན་ཉིད་དུ་འགྱུར|cittasyānya­thā bhavati; anya­tvam­āpadyate
རིག་བྱེད|veda
ཀུན་ཏུ་འོད|samantaprabhā
