ཀུད|བཀུ ND.gives as the present of ཀུད.
སྐྱོར|Present: སྐྱོར [LZ], DK, DS, TC.\nPast: སྐྱོརད [LZ], DK. བསྐྱོར DS, TC.\nFuture: བསྐྱོར DK, DS, TC.\nImperative: བསྐྱོརད [LZ], DK. སྐྱོར DS, TC.\nVoluntary:[LZ], DK, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To hold up, to prop, to paste CD. To support upright; to support from al sides so as to stand; to help, to support DK. 1. To prevent a person or thing from falling down. 2. To help, do, protect DS. To support, prop up, brace TC.
སྐྲག|Present: སྐྲག CD, DK, DS, TC.\nPast: སྐྲགས DK. སྐྲག [DS], TC.\nFuture: སྐྲག DK, [DS], TC.\nImperative: སྐྲགས DK.- TC.\nInvoluntary:TC.\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: (nearly always combined with 'jigs pa) To be terrified, frightened, afraid of something CD. To be frightened, to be terrified DK. To become afraid DS. To be afraid TC.\nNote: Cognate with adjective སྐྲག 'scary'.
སྐྲང|Present: སྐྲངས CD, DK, (DS), TC. སྐྲངས DS.\nPast: སྐྲང CD, DK, [DS], TC. སྐྲང [(DS)].\nFuture: སྐྲངས DK, [(DS)], TC. སྐྲངས [DS].\nImperative: སྐྲང DK. - TC.\nInvoluntary:TC, (Hoshi 2003).\nTransitive:DS. Intransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To swell CD. To swell, be swollen DK. For the flesh to swell up due to injury to the body or illness DS. To swell up TC.
སྐྲབ|Present: བྲོ་འཁྲབ LZ, CD, DK.\nPast: སྐྲབ LZ, DK.\nFuture: བྲོ་དང་རྐང་སྟབས་སོགས LZ, DK.\nImperative: འཁྲབ LZ, DK.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: སྐྲབས NWH.\nCharacteristic Example: བསྐྲབ LZ.\nMeaning: To beat the ground with one's feet; to stamp, tread; to dance CD. To cause to dance; to cause to select DK.\nNote:DS gives བསྐྲབས as an archaic word for སྐྲབ.
སྐྲི|Present: ཁག CD (archaic), ND, TC. (archaic).\nPast: སྐྲི ND.\nFuture: སྐྲིས ND.\nImperative: བསྐྲི ND. བསྐྲིས [TC] \nVoluntary:ND.\nCharacteristic Example: སྐྲི ND.\nMeaning: To conduct, to send (Cs.) CD. To give, send TC.
སྐྲུ|Present: ཤིང་གི་ཡལ་ག་དང་གཞན་ལ་ཐབས་ཀྱིས LZ, CD (archaic), DK, DS, TC.\nPast: སྐྲུས LZ, CD, DK, DS, TC. བསྐྲུ (see note)\nFuture: སྐྲུས LZ, CD, DK, DS, TC.\nImperative: བསྐྲུས LZ, DK, DS, TC.\nVoluntary:LZ, DK, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: སྐྲུ LZ.\nMeaning: To wait (Sch.); to cut CD. To beg for food, to make a hole by digging or cutting; to hollow out DK. To cut; to deceive DS. 1. To beg. 2. (archaic) To deceive. 3. To cut into pieces TC.
སྐྲུད|Present: སྐྲུད CD (archaic).\nMeaning:To make another run away by devicesCD.\nNote: Root given as skrud
སྐྲུན|Present: དགེ་རྩ་བསྱེད་པ TD, LZ, CD, ND, DK, DS, TC.\nPast: མཉུ་གུ་སོགས TD, LZ, ND, DK. མཉུ་གུ་སོག CD, DS, TC.\nFuture: སྐྲུན TD, LZ, CD, ND, DK, DS, TC.\nImperative: ཊཌ་ཨཔཔེཨརས་ཏོ་ལིསཏ་སྐུནད་ཨས་ཐེ་ཨིམཔེརཏིབེ༹,་ཨ་མིསྟཀེ་ཕོ༹ར་སྐྲུནད TDསྐྲུནད , LZ, ND, DK. བསྐྲུན DS, TC.\nVoluntary: TD, ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བསྐྲུན [sic]TD.བསྐྲུནད LZ.སྐྲུན ND.\nMeaning: To produce CD. To establish, to build; to make DK. 1. To print a book. 2. To make, produce DS. To make, construct, build, invent, produce TC.
སྐྲེས|Present: སྲེ (Gyurme 1992: 258). འདྲེས ((Gyurme 1992: 258)).\nCausative of: སྲེས (Gyurme 1992: 258).\nMeaning: To mix (Gyurme 1992: 258).\nNote: given as the primary spelling of སྐྲེས 
སྐྲོག|Present: དཀྲོག LZ, CD, DS, TC.ཌར་མ་རུ་སོགས ND.\nPast: ཞོ་དང་ཌ་མ་རུ་སོགས LZ, DS, TC.སྐྲོགས ND.\nFuture: སྐྲོག LZ, DS, TC.བསྐྲོག ND.\nImperative: སྐྲོགས LZ, ND, DS, TC.\nVoluntary:ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: *[']-khrog-[s](Chang 1971: v.6).\nCharacteristic Example: བསྐྲོགས LZ.དཀྲོག ND.\nMeaning: To beat (the drum); to churn; to stir (with a rod) CD. Another way to write སྐྲོག DS. 1. To churn, stir. 2. To beat a drum TC.\nNote:(Duff) suggests this verb is onomatopoetic 
སྐྲོག|Present: འདྲོག (Chang 1971: iv.10)\nCausative of: སྐྲོག (Chang 1971: iv.10).\nMeaning: To rouse, to scare up (Chang iv.10).\nNote: Root given as s-k-rog < s-'-rog < s-rog ? (Chang iv.10).
སྐྲོད|Present: ཕྱིར་ལ LZ, CD, ND, DK, DS, TC.\nPast: གཏེའུ་དང་བགེགས་སོགས LZ, ND, DK, DS, TC.\nFuture: སྐྲོད LZ, ND, DK, DS, TC.\nImperative: བསྐྲད LZ, ND, DK, DS, TC.\nVoluntary:ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: བསྐྲད LZ.སྐྲོད ND.\nMeaning: To expel, drive out, eject CD, DK. To drive away from a previous location DS. To expel, banish, drive out TC.
སྐྲོབ|Present: ཏི་ཀུ་སོགས་ཀྱིས LZ.\nPast: སྐྲོབས LZ.\nFuture: བསྐྲབ LZ.\nImperative: བསྐྲབས LZ.\nCharacteristic Example: སྐྲོབ LZ.
སྐྲོལ|Present: རོལ DK.\nPast: སྐྲོལད DK.\nFuture: བསྐྲོལ DK.\nImperative: བསྐྲོལད DK.\nDenominative of: སྐྲོལ 'music' (?) NWH.\nMeaning: To cause to make sound; to cause to stir up DK.
བརྐམ|རྐམ LZ, TCgive as the present of བརྐམ 
བསྐལ|Present: སྐེལད DS, TC.\nPast: བསྐལ [DS], TC.\nFuture: བསྐལ [DS], TC.\nImperative: - TC.\nInvoluntary:TC.\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be cut off by a long distance or period of time DS. To be separated, cut off TC.\nNote: Undoubtedly a generalization of the past of བསྐལ q.v. NWH
བསྐོན|Present:unattested རྐོན (Chang 1971: vii.16).\nCausative of:unattested འཁོན or unattested ཁོན (Chang 1971: vii.16).\nMeaning: To get caught, hung up (on a peg) (Chang 1971: vii.16).\nNote: Hypothesized by Chang on colloquial data, see བསྐོན.
ཁང|ཁེང (Tournadre & Dorje 2003) gives as a literary alternate of ཁང 
ཁུག|Present: འགུགས CD, DS, TC.ཁུགས DK, (TC).\nPast: ཁུག DK. འཁུག DS, TC.\nFuture: ཁུགས DK. ཁུག DS, TC. \nImperative: འཁུགས DK. - DS, TC. \nInvoluntary DS, TC., (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCausative of: ཁུག (Gyurme 1992: 259).\nMeaning: To find, get, earn, draw CD. To calm down; to bend down; to fall asleep; to valued; to be worth DK. To be the price of (something) DS. 1. To turn into, to change, to become. 2. To get, to make, to find TC.
ཁེགས|Present: འགོག CD. DS. ཁེག TC. ཁེགས (Beyer 1992: 113)\nPast: ཁེགས [DS], TC, (Beyer 1992: 113).\nFuture: འཁེགས [DS].ཁེག TC.\nImperative: - TC.\nInvoluntary: TC.\nTransitive: DS. Intransitive TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: ཁེགས (Beyer 1992: 113).\nMeaning: To obstruct, to close CD. For something to be unable to move because something else is stuffed inside (a pipe, hole &c.) DS. To be obstructed, to stop, to come to halt TC.
ཁེང|Present: སྒང CD.གང DK. TC. སྐོང DS.\nPast: ཁེངས CD, DK, [DS], TC.ཁངས (Tournadre & Dorje 2003).\nFuture: འགེང DK, TC.ཁེངས [DS].\nImperative: ཁེངས DK.- TC.\nInvoluntary: TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nResultative of: ཁེངས (Beyer 1992: 113), (Duff)\nMeaning: To be replete, to be full CD. To be full DK. To fill up the inside DS. To be full TC.\nNote:(Tournadre & Dorje 2003) suggest that ཁངས is a literary variant of ཁེངས. Compare also ཁེངས , ཁེང , and འཁེང.
ཁེན|Present: བཁན་པ CD. DS, TC.\nPast: ཁེན [DS]\nFuture: ཁེན [DS].\nIntransitive: DS, (Skorupski 2001).\nMeaning: To lean, to repose on. (erroneously for ཁེན [sic]) (Sch.) CD. To rest, rely on in order not to collapse DS. (dialect) To lean, to rest against TC.
ཁེབས|Present: འགེབས CD, DK. ཁེབས DS, TC. \nPast: ཁེབས CD, DK.འཁེབ [DS], TC.\nFuture: ཁེབས DK. ཁེབ [DS], TC.\nImperative: ཁེབས DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nResultative of: འཁེབས (Gyurme 1992: 259), (Duff). \nMeaning: To cover; to spread over CD. To cover up; to spread over DK. To be able to cover, be able to arrange DS. To be covered TC.
ཁེར|Present: ཀེར DS. \nPast: ཁེར [DS].\nFuture: ཁེར [DS].\nIntransitive: DS.\nMeaning: To make vertical, to extend DS.\nNote:DS reports this as similar in meaning to ཁེར to which it is likely a mere orthographic variant of, reflecting an aspirate pronunciation. 
ཁོག|Present: འགོག (Gyurme 1992: 259).\nResultative of: ཁོག (Gyurme 1992: 259).\nMeaning: To be taken out (Gyurme 1992: 259).
ཁོམ|Present: ཁོམས CD, DS, TC. ཁོམ DK\nPast: འཁོམ DK, [DS], TC.\nFuture: ཁོམ DK. ཁོམ [DS], TC. \nImperative: ཁོམ DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: 1. to have leisure, time to do a thing. 2. to be enabled to do a thing by the absence of external impediments (Schtr.) CD. To have time; to be free; to be free from the worldly activities DK. To not have leisure, time DS. To have time for something TC.
ཁོལ|འཁོལ DS gives as the present of ཁོལ 
ཁྱག|Present: ཁྱག CD, DK, DS, TC. \nPast: ཁྱགས DK.ཁྱག [DS], TC. \nFuture: ཁྱག DK, [DS], TC.\nImperative: ཁྱགས DK. ཁྱག TC.\nVoluntary: TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: To undertake, to be surety for [sic] CD. To float on water; to become mentally unsettled or unsteady DK. To endure hardship, to be able to hold up DS. To endure, to be able to lift or hold up something TC.
ཁྱབ|Present: གཏམ་ཙེགས་དང་ཡུལ་ལ LZ, CD, DK, DS, TC. \nPast: སྐྱོབ LZ, DK, [DS], TC.\nFuture: ཁྱབ LZ, DK, [DS], TC.\nImperative: ཁྱབ LZ, DK, - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nResultative of: ཁྱབ [Coblin 1986]\nCharacteristic Example: ཁྱབ LZ.\nMeaning: To fill, penetrate, embrace; estimate, comprise CD. To cover up, to spread over DK. To spread, cover DS. To cover, to pervade, to include, to spread TC.
ཁྱོག|Present: འཁྱོག TC. \nPast: ཁྱོག TC.\nFuture: ཁྱོག TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be sustainable, to be borne, to be bearable TC.\nNote: Compare ཁྱོག.
ཁྲུལ|Present: ཁྲུལ CD, DS. \nPast: ཁྲུལ [DS].\nFuture: ཁྲུལ [DS].\nIntransitive: DS.:\nMeaning: To let fall; to drop (several things at intervals) CD. To fall, drop individually DS.
ཁྲེམས|Present: ཁྲེམས CD, TC. \nPast: ཁྲེམས TC.\nFuture: ཁྲེམས TC.\nImperative: - TC\nInvoluntary: TC.\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To water gardens and cultivation; to sprinkle water CD. To be absorbed TC.
ཁྲེལ|Present: ཁྲེལ CD, DS, TC. \nPast: ཁྲེལ [DS], TC.\nFuture: ཁྲེལ [DS].\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be ashamed; to provoke shame CD. To loose hope, to no longer desire DS. To be embarrassed (by the reproach of another), to be considerate TC.
ཁྲོ|Present: ཁྲོ་བོར LZ, ND, DK, DS, TC. སྡང་དགྲ་སོགས་ལ CD.\nPast: ཁྲོ LZ, C D, ND, DK, DS, TC.\nFuture: ཁྲོས LZ, DK, DS, TC. འཁྲོ ND.\nImperative: ཁྲོ LZ, ND, DK, - DS, TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: ཁྲོས 'anger'NWH\nCharacteristic Example: འཁྲོ LZ. ཁྲོ ND.\nMeaning: To be angry CD. To get angry; to be filled with anger; to be indignant DK. To be angry, aggressive DS. To go angry, to become angry TC.
མཁས|Present: མཁས་པར་གྱིས KYN, LZ, ND, DK, DS, TC. \nPast: ཆོས་སྲིད་སོགས་ལས KYN, LZ, ND, DK, [DS], TC.\nFuture: མཁས KYN, LZ, DK, [DS], TC.\nImperative: མཁས , LZ, DK, - [KYN], TC.\nInvoluntary: [KYN], TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: མཁས LZ. \nMeaning: To become wise; to become a scholar; cause to be learned DK. To be able, skilled, to have compassion DS. To be learned TC.\nNote:KYNgives the imperative asམཁས implying that there is no imperative. 
མཁོ|Present: འདི་དང་ཕྱི་མ་སོགས་ལ LZ, CD, ND, DK, TC. \nPast: མཁོ LZ, ND, DK, TC.\nFuture: མཁོ LZ, DK, TC.\nImperative: མཁོ LZ, DK. - TC. \nInvoluntary: TC.\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: མཁོ LZ.\nMeaning: To want CD. To necessitate; to become necessary; to be in need DK. To want, to need TC.
མཁྱུད|Present: དོན་ནམ་དཔེ་སོགས LZ, CD, DK, DS, TC. \nPast: མཁྱུད LZ, DK, [DS], TC.\nFuture: མཁྱུད LZ, DK, [DS], TC.\nImperative: མཁྱུད LZ, DK. TC. \nVoluntary: TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: མཁྱུད LZ.\nMeaning: To keep, to hold, to retain CD. To be secretive, to conceal one's knowledge with ill intention DK. (archaic) To hide (small religious instructions &c.) DS. To conceal, to hide TC.
མཁྱེན|Present: དགོངས་ཡུལ་དུ LZ. མཁྱེན CD, DK, DS, TC. \nPast: མཁྱེནད LZ, DK.མཁྱེན [DS], TC.\nFuture: མཁྱེན LZ, DK, [DS], TC.\nImperative: མཁྱེནད LZ. མཁྱེན DK, TC.\nVoluntary: TC.Involuntary:(Tournadre & Dorje 2003: 191), (Hoshi 2003).\nTransitive: DS, (Skorupski 2001).Intransitive: TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 191), (Hackett 2003).\nCharacteristic Example: མཁྱེནད LZ.\nMeaning: To know CD. To know, to understand; to comprehend DK. To know, understand, examine DS. (honorific) To know, to comprehend TC.\nNote: Root given as mkhyen < *mkhyan < mkhan (Beyer 1992: 84 n. 15).
མཁྲང|Present: བློ་ཤེད་སོགས ND. \nPast: མཁྲང ND.\nFuture: མཁྲངས ND.\nImperative: - ND.\nInvoluntary: ND.\nCharacteristic Example: མཁྲང ND.\nMeaning: hard, solid, compact (Ja) CD.
མཁྲེག|Present: སྲ་བའི ND. \nPast: མཁྲེག ND.\nFuture: མཁྲེགས ND.\nImperative: - ND.\nInvoluntary: ND.\nCharacteristic Example: མཁྲེག ND.\nMeaning: hard, firm (Ja) CD.
མཁྲེན|Present: ཐུགས་ལ ND. \nPast: མཁྲེན ND.\nFuture: མཁྲེནད ND.\nImperative: - ND\nInvoluntary: ND.\nCharacteristic Example: མཁྲེན ND. 
འཁང|Present: འཁངས CD, ND, DK, DS, TC, (Denwood 1991: 136). \nPast: འཁང ND, འཁངས DK, DS, TC, (Denwood 1991: 136).\nFuture: འཁང DK, DS, TC.\nImperative: འཁང DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To hurt at heart or offend, also to irritate CD. To be unsatisfied, to be discontented or hateful DK. To believe, to not be happy DS. To be resentful, to be spiteful, to bear ill will TC. To recriminate, complain, resist (Denwood 1991: 136)
འཁམ|Present: འཁམས CD, DK. འཁམས TC. \nPast: འཁམ DK, TC.\nFuture: འཁམས DK. འཁམས TC.\nImperative: འཁམ DK. - TC.\nInvoluntary: TC.\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: 1. To sink or fall down senseless; to faint away; to swoon. 2. To take into one's mouth (Sch.) CD. To faint, to become unconscious TC.
འཁར|Present: འཁརད CD, DK, TC. \nPast: འཁར DK. འཁར TC. \nFuture: འཁརད DK, TC.\nImperative: འཁར DK.- TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To adhere, to stick to CD. To long for; to crave for, to be greedy; to be impeded DK. To adhere to, to stick to, to be caught on TC.
འཁལ|Present: འཁེལ LZ, CD, DK, (DS), TC. སྐུད་པ་སོགས DS, (TC). \nPast: འཁོལ LZ, DK. ཁོལ DS, TC.\nFuture: འཁལད LZ, DK, TC. ཁེལད DS.\nImperative: དགལ LZ. བཀལ DK. བཀལ DS. བཀལད TC.\nVoluntary: TC, (Hoshi 2003).\nTransitive: TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: འཁེལ LZ.\nMeaning: 1. To spin. 2. (in West) To send; to forward things CD. To spin yard; to make thread DK. To spin wool, cotton, silk &c. into thread DS. To spin TC.\nNote: Compare འཁལ 
འཁུ|Present: དཀུ LZ, CD, ND, DK, DS, TC, (Denwood 1991: 136). \nPast: ཞེ་གནག་གིས LZ, DS, (Denwood 1991: 136). འཁུ ND, DK, TC.\nFuture: འཁུ LZ, DK, DS, TC.\nImperative: འཁུ LZ, DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁུས LZ.\nMeaning: To offend, to vie with, contend (Ja) CD. To be unsatisfied; to hate DK. To bear thoughts of harm DS. 1. To contend with, to vie with, to harm. 2. (archaic) To oppose TC. To oppose, rebel (Denwood 1991: 136).\nNote: perhaps to be linked with འཁུ. 
འཁུགས|ཁུག DK, TC give as the present of འཁུགས.
འཁུན|Present: ཁུར་སོགས་ཀྱིས་མནརད་ཏེ LZ, DK, DS, TC. \nPast: འཁུནད LZ. འཁུན DK, ཁུན [DS], TC.\nFuture: འཁུན LZ, [DS], TC. འཁུན DK. \nImperative: ཁུནད LZ. འཁུནད DK. - TC\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁུན LZ.\nMeaning: To pant, to whisper DK. For a sound to come from the throat because of illness DS. 1. To groan, to moan. 2. To be breathless. 3. To make a guttural sound like the cawing of a pigeon TC.
འཁུམ|Present: སྐུམ CD, DK, ND, DS, TC. \nPast: འཁུམས CD.འཁུམ ND འཁུམས DK, DS, TC.\nFuture: འཁུམ DK, DS, TC.\nImperative: ཁུམས DK. - DS, TC.\nInvoluntary: TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འཁུམ (Gyurme 1992: 259), (Beyer 1992: 116)\nMeaning: To shrink CD. To contract, shrink; to be afraid of, to recoil DK. 1. To shrink in size. 2. To measure, be miserly DS. To shrink, contract TC.
འཁུམས|Present: ཚིག་དོན་སོགས LZ, DK.ཁུམས CD, ND, DS, TC. \nPast: འཁུམས LZ, DK, DS, TC.ཁུམ CD, DK.འཁུམ ND \nFuture: འཁུམས LZ.འཁུམ DS, TC. ཁུམས DK.\nImperative: འཁུམས LZ. འཁུམ DK. - DS, TC.\nInvoluntary: TC, (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: འཁུམས LZ.\nMeaning: To comprehend CD. To comprehend, to hear DK, DS. To know, to have an idea of TC.
འཁུར|Present: ཁྲེས་པོ་སོགས LZ, CD, DK, DS. TC. སྐུར CD (in West).\nPast: ཁུརད LZ. ཁུར DS, TC.བཀུར DK.\nFuture: འཁུར LZ, ཁུར DS, TC. བཀུརད DK.\nImperative: ཁུར LZ, DS, TC. ཁུརད DK.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nResultative of: བཀུར (Gyurme 1992: 259).\nCharacteristic Example: འཁུར LZ. \nMeaning: To carry; to fetch; in convey CD. To carry DK. To carry placed on a person's back or shoulders DS. To carry, to shoulder, to bear TC.
འཁུལ|Present: སྐུལ CD, DK, TC. \nPast: འཁུལད DK.འཁུལ (li yung khrang 1988).\nFuture: འཁུལ DK, (li yung khrang 1988).\nImperative: འཁུལད DK. - (li yung khrang 1988).\nInvoluntary: (li yung khrang 1988).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འཁུལ [Coblin 1986]\nMeaning: 1. To subdue, to subject (Nag) (Cs.). 2. To be uneasy about CD. To subdue, to force TC.
འཁུས|Present: ཁུས DK, TC. \nPast: བཀུ DK.\nFuture: བཀུས DK.\nImperative: འཁུས DK\nMeaning: To extract juice from; to take out juice DK. (archaic) To conceal TC.
འཁེང|Present: འཁེང TC. \nPast: འཁེངས TC.\nFuture: འཁེང TC.\nImperative: - TC. \nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be frozen, to be congealed TC.
འཁེབས|ཁེབས CD, DK give as present to འཁེབས 
འཁེལ|Present: འཁེལ་བ LZ, CD, ND, DK, TC. སྐུད་པ་སོགས CD. DS. ཁལ་དང་གཟེར་ལུང་ལ (CD).\nPast: ཁྲལ་དང་ཆད་པ་སོགས LZ, ND. འགེལ CD, DK, [DS], TC.\nFuture: ཁོལད LZ.ཁེལད LZ.ཁེལ NDཎཌབ་སེཨེམས་ཏོ་རེཨད་འཁས་བུཏ་ཐིས་ཨིས་མོརེ་ལིཀེལཡ་ཨ་མིསྟཀེ་ཐན་ཐེ་འཁལ་ཨོཕ༹་ཎཌཱ་འཁེལ DK, TC.འཁལ [DS].\nImperative: དགལ LZ, DK བཀལ LZ, ND. - TC.\nVoluntary: ND, DS. Involuntary: TC, (Tournadre & Dorje 2003: 313), (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax:[Abs.] (Tournadre & Dorje 2003: 313). [Abs. Obl.] (Hackett 2003).\nResultative of: ཁེལ (Beyer 1992: 113).\nCharacteristic Example: བཀལད LZ. འགེལ LZ. ཁེལ ND.\nMeaning: To put on, to pack on, to load ('khel) CD. 1. to load upon; = འཁེལ (Ja), 2. reply upon; depend on (khel)CD. To be decided, to be confirmed; to strike, hit; to be on the way DK. 1. To strike (e.g. a target with arrow). 2. To decide on the meaning of a belief DS. 1. To be determined. 2. To make contact, to encounter, to coincide with, to endure. 3. To trust TC.
འཁོ|Present: དགོས CD. \nPast: མཁོས་ཕུབ (Zeisler 2004: 454).མཁོ (Zeisler 2004: 454).\nFuture: ཁོས་པ (see note).\nMeaning: To wish, to want, to think useful, serviceable, necessary (Ja) CD.\nNote: Compare དགོས 'wanted, wished for', compare also ཁོས 'to be desirable, necessary' འཁོས 'fancy for something' (CD). འཁོ 'to need' may perhaps be related as the future stem (Zeisler 2004: 454 n. 138).
འཁོང|Present: འགོང CD, DS, TC. \nPast: བཀོང [DS].\nFuture: སྒོང [DS].\nIntransitive: DS.\nMeaning: To draw in one's limbs; to sit in a cowering position, to squat; to hide one's self CD. 1. To be unsatisfiedly unhappy. 2. To remain with the body's limbs contracted. 3. (མདོ་སྨད dialect for འཁོང ) To make into a ball (barley flower &c.) DS. (archaic) To be disheartened TC.\nNote: Compare འཁོང and འཁོང 
འཁོད|Present: འགོད LZ, CD, DK, DS, TC. \nPast: སྐོ LZ, [DS], TC. ཁོད DK. \nFuture: ཁོས LZ, DK, [DS], TC.\nImperative: མཁོས LZ. གདན་སོགས DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC. Transitive: (Gyurme 1992: 247)\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: འགོད (Beyer 1992: 112), (Gyurme 1992: 259), (Duff)\nCharacteristic Example: ཁོད la LZ.\nMeaning: To sit, to dwell, to live; to be set down CD. To be registered; to sit down on a throne; to be enthroned; to become a leader; to be in line DK. To stay in one's place DS. 1. To be placed, to be present, to be situated. 2. To be established, to be set down, to be recorded, to be labeled TC.\nNote:(Uray 1972: 19) connects this verb with འཁོད /_འཁོད /_ཁོད 'institution, administration, settlement of the state' along with the verbs, འཁོད and འཁོད.
འཁོན|Present: ལོགས་ལ LZ, TC.གནོད་པ་སོགས ND, DK. \nPast: འཁོན LZ, ND, DK.\nFuture: ཁོནད LZ, ND, DK.\nImperative: ཀོནད LZ. བཀོནད ND, བཀོན DK.\nVoluntary: ND.\nTransitive: (Skorupski 2001).\nCausative of: བཀོནད NWH.\nCharacteristic Example: འཁོན LZ. བཀོན ND.\nMeaning: To create enmity; to disturb a friendly relation or to cause disunion DK. To threaten, menace DS. (archaic) To bear a grudge, to harbor revenge TC.
འཁོན|Present: རྐོན LZ. DK, DS, TC. \nPast: སྐོན LZ. གཞན་དང DK.འཁོན [DS], TC.\nFuture: ཁོནད LZ, DK, [DS], TC.\nImperative: འཁོན LZ. འཁོན DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Ass.] (Hackett 2003).\nResultative of: འཁོན NWH.\nCharacteristic Example: ཁོན LZ.\nMeaning: To bear a grudge or ill will against a person; to be dissatisfied with a thing; to be malicious, spiteful CD. To be revengeful, spiteful, hateful DK. 1. To bear enmity, hostility. 2. To be impeded, to be obstructed TC.\nNote:(Chang 1971: vii.16) suggests based on colloquial data a verb *'khon which means 'to get caught, or hung up' see note at ཁོནད , and འཁོན. 
འཁོབ|Present: འཁོབ CD. འཁོབ DS, TC. \nPast: འཁོབས DS. འཁོབ TC.\nFuture: འཁོབས DS, TC.\nImperative: - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be startled, agitated, alarmed (Ja) CD. To be stiff due to cold DS. To be stiff, rigid TC.
འཁོམས|ཁོམ DK gives as the present of འཁོམས 
